 	la	pasta	vuole	sale	</S>
i	0.836686512	0.1487433819	0.00794246758026	0.00225010558022	0.00437752996027
p	0.688551256	0.244574731233	0.0282768849201	0.0206814729754	0.0179156581745
à	0.501868545333	0.391354799344	0.0552867335067	0.0271252821215	0.0243646687638
s	0.269927530111	0.589446193781	0.0890453040356	0.0308291815435	0.0207518200979
t	0.131507002537	0.71723036926	0.0973189788785	0.0326773613392	0.0212662902159
a	0.085059617819	0.61881575642	0.247011567693	0.0224961370877	0.0266169124883
ì	0.043557880285	0.367596218473	0.472301454898	0.0851996892159	0.0313447666788
t	0.016949381723	0.187760490444	0.632967194966	0.131511500639	0.0308114518276
e	0.0278858431237	0.0764991353347	0.584539606322	0.25683228108	0.0542431357145
l	0.0318317010746	0.0332493741916	0.474191138774	0.382162438093	0.0785653376248
e	0.0150034648249	0.0151769240972	0.365646120925	0.507833809098	0.0963396703283
à	0.0108471521716	0.00710568396707	0.150210012482	0.715833874366	0.116003253709
l	0.005677633697	0.00384974460236	0.081054554234	0.792528891455	0.116889164083
a	0.00620397683547	0.00220722312612	0.0584231672113	0.658446724818	0.274718914208
</S>	0.00932987986774	0.00199047165306	0.0364385904557	0.516624695909	0.435616367104
