 	io	voglio	che	Maria	venga	qui	</S>
e	0.939634021	0.04983183253	0.0068815629275	0.00228280690673	0.00021477911305	0.000329921867771	0.000825067987914
v	0.753709326933	0.21014203751	0.0222394348532	0.0104743667716	0.000395958459737	0.000599058078014	0.00243981071698
ò	0.508526863511	0.423642670503	0.0501482760444	0.0134493466525	0.000747066667912	0.000593375937471	0.00289240283607
t	0.348268579704	0.541267661501	0.0733285900815	0.0148334175708	0.0044563672071	0.00254059077096	0.0153048025953
è	0.202075482235	0.6463601265	0.103697262427	0.0182566764636	0.00657414085083	0.00382961922079	0.019206728629
l	0.0967026296783	0.700560310833	0.152904985809	0.0299392633212	0.00664748680041	0.00413090473147	0.00911447587595
o	0.0645452007728	0.533994777144	0.309226975336	0.0500864316737	0.0189465097049	0.0137128547194	0.00948728396896
n	0.0514339223743	0.328470625648	0.448869602445	0.109467914205	0.0277041879883	0.024775706424	0.00927802513632
a	0.0363410442948	0.205816753729	0.463243236815	0.208651626668	0.0437009644294	0.030161273964	0.0120850603722
r	0.0291719124956	0.109335289823	0.446380714938	0.288142412489	0.0659960042098	0.0459078236727	0.0150658202035
t	0.0153053616372	0.0976208737503	0.417310689646	0.330405431563	0.0674307876699	0.0505688731609	0.0213579744638
i	0.0230229298764	0.0771726174594	0.348660664349	0.362692441521	0.109207693957	0.0521802956136	0.0270633336013
e	0.0241383395948	0.0375169280889	0.20288316409	0.451679889174	0.211912409786	0.0513183419399	0.0205509083424
M	0.0116647280299	0.0183710943187	0.11370798507	0.503633339058	0.251530859395	0.0790762075553	0.0220157729628
a	0.0270176026336	0.0177935731196	0.116017453223	0.427620837686	0.254709475598	0.129071787685	0.0277692517209
r	0.0318685574885	0.0186279368965	0.0869488774077	0.354813225795	0.283238084999	0.176482509142	0.0480208037776
ì	0.0395116949888	0.0267675757255	0.0694502126759	0.244349852432	0.350432972626	0.216968075247	0.0525196120099
a	0.0425456341236	0.0261005512625	0.061607418828	0.105414753731	0.452305171169	0.245742553549	0.0662839081766
e	0.0191153019952	0.0108404273582	0.029929393622	0.0584244684237	0.406400359723	0.34942920785	0.125860834819
t	0.0110372605402	0.00581179894627	0.0193422822189	0.0378985051012	0.227612003108	0.541586623283	0.156711527473
t	0.00643939794494	0.00768743101919	0.0197139983047	0.0223638608091	0.109081765309	0.641636476428	0.193077069624
ù	0.00461923813209	0.0092796075613	0.018909688266	0.013403888985	0.0685035313097	0.590492160143	0.294791878075
</S>	0.00349279803614	0.00716352637765	0.0127747056244	0.0080957450525	0.0550370233549	0.552013947071	0.361422245438
