 	il	vino	buono	deve	essere	invecchiato	</S>
o	0.677007613	0.25577179771	0.0223713360417	0.0131269058407	0.0152971482462	0.0123909155243	0.00403425883983
k	0.482666585487	0.415076190837	0.0471949884272	0.0156500755456	0.0181559694769	0.0158814335365	0.00537475767915
r	0.368207500916	0.531599724212	0.0684516063491	0.00920010097067	0.0100176570148	0.00923484516683	0.00328859340361
a	0.272400873492	0.561052517737	0.148508378523	0.00738358187902	0.00566094053195	0.00361622858291	0.00137750966228
s	0.160000593551	0.531960762912	0.247105566174	0.0420263635063	0.0126938096361	0.00266241503334	0.00355050442062
ì	0.0919546265703	0.467371701037	0.364002373391	0.0546483175821	0.015145144026	0.00225835264513	0.00461949197267
k	0.0619891385701	0.371495590606	0.43783202393	0.0583603185074	0.0529901185887	0.00644569432626	0.0108871241261
a	0.045799195086	0.237610731082	0.506313089443	0.103812137536	0.0798560272282	0.0101454989848	0.0164633129627
l	0.03689064915	0.126390294687	0.585345750814	0.142224112912	0.0806133306427	0.0131230837578	0.0154127797892
ò	0.01922886783	0.0787655236423	0.500042468605	0.277757068971	0.0975279402809	0.0137494960199	0.0129286458598
e	0.011787983202	0.0402485389598	0.342461069155	0.49154938099	0.095105998227	0.0102768186973	0.00857020220867
n	0.0091864253774	0.0262598576516	0.230178256065	0.557979695663	0.150757169076	0.0167276598384	0.00891091887722
a	0.00815325103187	0.0179453949177	0.144800124828	0.562440922554	0.212292233292	0.0440234742028	0.01034458754
è	0.00882776579062	0.0118438970513	0.069737239794	0.563777789518	0.264607329097	0.0605401649576	0.0206658087743
n	0.00726166819357	0.0066004117077	0.0357553616093	0.469932609899	0.370520492366	0.0802203827459	0.0297090651314
e	0.0241807287366	0.028705077345	0.0207187387424	0.329045569426	0.409207192389	0.149965961815	0.0381767373638
a	0.0333657077742	0.0424752106343	0.0174770720181	0.199811593275	0.40115932213	0.229289243272	0.0764218594546
n	0.0183105380207	0.0238854858152	0.0152460922894	0.114610664225	0.37730157311	0.322066861224	0.128578787685
v	0.0152989494451	0.0149798823835	0.0154059316442	0.083236262055	0.26883401451	0.422024760808	0.180220189742
e	0.0154527139106	0.0106815144603	0.0124879522851	0.0686557616383	0.20100111929	0.446747274269	0.244973648827
k	0.0102323693346	0.00676176707303	0.00785758110017	0.0359439196701	0.155445312897	0.518646817423	0.265112235076
k	0.0231378208911	0.0168252417547	0.0113073598705	0.0237920094587	0.102910833626	0.572365561808	0.249661191225
i	0.0542149464789	0.0508878668222	0.0124937779435	0.0235717715442	0.0831021896953	0.521576636569	0.254152831042
à	0.064686315425	0.0937036408114	0.00816517934117	0.0176049995347	0.0586617248651	0.512050785623	0.245127367781
t	0.0555950992663	0.0786233286259	0.0188896956547	0.0114919634212	0.0413505231884	0.610688669341	0.18336071114
o	0.0392452380614	0.0371745936194	0.0237933456058	0.0129376027667	0.0351766540428	0.558637263114	0.293035283193
</S>	0.0277538280307	0.0307756717507	0.0172004413829	0.0167142901284	0.0411485536214	0.414659280557	0.451747923196
