 	la	macchina	vuole	riparata	dal	meccanico	</S>
i	0.801421771	0.18182786483	0.00673646289268	0.00242850351582	0.00459966732502	0.000313629611262	0.00267214014545
m	0.641145133	0.32999741081	0.0129663301376	0.00293007505094	0.00532824514741	0.0004835024285	0.00714933067828
à	0.4277316342	0.533953616137	0.0261739230259	0.00188865532571	0.00274137123373	0.00040843839316	0.0071023915132
k	0.251304144267	0.655934188046	0.060932751942	0.0168019293816	0.00306273148024	0.0012500852993	0.010714184773
i	0.157571737782	0.656566011349	0.142859094981	0.0251065615712	0.00435425479081	0.00160362548455	0.0119387062599
n	0.0909129275407	0.640998351116	0.241012747527	0.0172428041304	0.0033658235536	0.000963185175077	0.00550415556707
a	0.0627008660116	0.455556444372	0.456076770242	0.0174576469568	0.00292754099587	0.000870676906759	0.004410056635
t	0.0348381863512	0.219318537524	0.703546702081	0.0336271171789	0.00375506400996	0.000786364621986	0.00412801479744
è	0.0153630455601	0.101145654748	0.829132120694	0.046529764033	0.00425399280532	0.000592014292422	0.00298340167215
l	0.0073577155671	0.056136155356	0.861242227565	0.0659272400777	0.00459520319977	0.00186291080627	0.00287856059679
i	0.023232787673	0.0557614539653	0.714413137188	0.168330334359	0.0294309723026	0.00393482942046	0.00489649324046
s	0.0287005439685	0.0447925846431	0.560886809063	0.31440991932	0.0418890643542	0.00381993907149	0.00550114557654
t	0.0137340206018	0.023324912852	0.480502460888	0.400599613573	0.0663743953847	0.00615866924423	0.00930592911743
i	0.0122701009795	0.024132270289	0.335211736883	0.432127245124	0.168872205542	0.0117350966565	0.0156513447838
a	0.0119850092485	0.0259711271879	0.180980594202	0.469910529975	0.269351135447	0.0166425181422	0.0251590995954
m	0.00998328004883	0.0276627449236	0.125684400635	0.537384267725	0.242636587749	0.0250957832774	0.0315529338222
m	0.0123790358489	0.0314661399732	0.10777226198	0.472669436508	0.29623296825	0.0258013830058	0.0536787722007
è	0.035872536167	0.0218939145517	0.0643796384087	0.327587631636	0.45111710235	0.0372341511819	0.0619150424136
n	0.0412858133097	0.0253055618899	0.0969218217029	0.388399331525	0.360882160617	0.0481064716406	0.0390988502512
i	0.0298560299646	0.0264226062818	0.10436148067	0.339440381775	0.390103245772	0.0719966465602	0.0378196139171
à	0.0299457250509	0.0204297043448	0.0455151347747	0.141704859941	0.559404413924	0.12467652598	0.078323628779
t	0.0357436696095	0.0378941496993	0.0459357013516	0.085703130303	0.509478068641	0.18577362346	0.0994716427797
t	0.0777968734027	0.0419708892407	0.0491424162248	0.0757183238543	0.42236252448	0.210845522087	0.12216344426
o	0.0745638219306	0.0201745090126	0.0258718519006	0.0515034883481	0.36839666956	0.254946081496	0.204543566787
m	0.0339764721472	0.015348586898	0.0132663137693	0.027560177666	0.25434876832	0.384759617165	0.270740046029
e	0.0258081193341	0.0209875558458	0.0117355042572	0.0207990343833	0.16399878028	0.421900231055	0.33477075341
k	0.0221910461458	0.0232442180121	0.0099335528504	0.0148421603218	0.11646238924	0.446180517018	0.36714610147
k	0.0189407294719	0.0188410218871	0.00860897669513	0.0162618559266	0.0913988834867	0.448629613673	0.397318921957
à	0.0155642365762	0.0104602010166	0.014494274864	0.0153022345982	0.0859998778689	0.455960114558	0.402219067119
n	0.0213752410921	0.0199011243908	0.0282832199195	0.0128145520147	0.047759512423	0.548251676186	0.32161468624
i	0.0227436146047	0.0254232939489	0.0296007812963	0.0128699214149	0.037795617301	0.461852945395	0.409713841853
k	0.0299020549756	0.023593809691	0.0210671424561	0.010848945839	0.0287827769357	0.433646741798	0.452158546258
o	0.0425154303459	0.0298294267523	0.021526331846	0.0144063359237	0.0270452669806	0.402865909666	0.461811315953
</S>	0.0436774109829	0.0303032916542	0.022868261913	0.0193625999929	0.0377136316903	0.286206461433	0.559868354376
