 	ora	che	loro	non	vengono	più	</S>
à	0.949323945	0.040674804882	0.0015715458516	0.0049838814637	0.00129614235949	0.000211778985633	0.00193792255785
r	0.795686359933	0.127225123294	0.0295325824992	0.0106569123858	0.0027858203033	0.00172120488833	0.0323920172415
t	0.540088435644	0.292068581098	0.0674311147997	0.0414179798447	0.011000710038	0.00528214585912	0.0427110319497
e	0.303556840468	0.520108657033	0.0834486899332	0.0579350820682	0.0136772360731	0.00504916934257	0.016224310153
k	0.145306332209	0.602150524344	0.175731001311	0.0449726775494	0.00935321824777	0.00919777863526	0.0132884599578
a	0.069260080183	0.471926763048	0.31194921377	0.106780267756	0.0155420522316	0.0109052054302	0.0136364339556
c	0.035648214411	0.315579253749	0.454714723523	0.120401945719	0.0176592660205	0.0114101298003	0.0445864694854
ì	0.0235930219863	0.17546229135	0.529462436241	0.169152110573	0.0372189510062	0.0117351821914	0.0533759795206
n	0.0145348187081	0.13429087135	0.538835350214	0.207265120124	0.0759365840354	0.00764963098913	0.021487609426
i	0.0195307953834	0.120587085543	0.407775836805	0.230528073308	0.191329250345	0.0166968950164	0.0135520655167
e	0.0186249604818	0.0648050588897	0.199293283402	0.330808918103	0.338572688782	0.0240950490588	0.0238000593889
n	0.0133936446891	0.0364061475919	0.156414019667	0.301603048501	0.385950254927	0.0621335015729	0.0440994134196
è	0.0120296044862	0.0216224758926	0.121299468046	0.2203365465	0.495820680976	0.091399274491	0.0374919582619
r	0.0069189544394	0.0120509107528	0.0802102879393	0.1383501781	0.604432718992	0.127145989764	0.030890948336
k	0.0136682005911	0.0192844646329	0.0705709936264	0.0822626281667	0.562362142331	0.179234822721	0.072616736132
o	0.0163372272297	0.0208892725076	0.0413525401148	0.0537865578556	0.48009869811	0.26435603424	0.123179655137
t	0.00677963028877	0.0121697503727	0.0184632958136	0.0260197137052	0.376111378037	0.413113659413	0.147342555379
t	0.00363510615318	0.00963551095612	0.0107268019936	0.0194044273631	0.301016755679	0.491400807138	0.16418059306
e	0.00237678889378	0.00565902781806	0.00574658255333	0.017873527405	0.239349484493	0.519570753713	0.209423839153
p	0.00263118365993	0.00490307381229	0.00378951330351	0.00999486364433	0.136712341658	0.568295503238	0.273673521518
l	0.00255835156608	0.00475627228113	0.0031799449219	0.00590067305478	0.0684456093833	0.637987591079	0.277171568773
è	0.00303869184118	0.00424457913556	0.00236947158113	0.00466273167226	0.0434809315451	0.73387377236	0.208329821284
o	0.0300787656801	0.00928194046347	0.00783829419948	0.00519515586649	0.0388239978284	0.647098319787	0.261683523301
</S>	0.055928021488	0.0144550646769	0.0140487494237	0.00661924617585	0.0442769406642	0.505723047394	0.35894893542
