 	che	sapeva	che	non	può	fare	il	bagno	</S>
k	0.7802830905	0.1937636458	0.0016510457306	0.0014379433207	0.00761547127406	0.00081226954643	0.000361871393075	0.00843291816355	0.00564176091942
a	0.576566987833	0.388623984933	0.0076125493682	0.0025357867439	0.00870643405749	0.00125798551488	0.000409593412558	0.00862619888336	0.00566048952505
ì	0.321756215004	0.649153796978	0.0145728769527	0.00291369862397	0.00516664880716	0.00103889510929	0.000208254505633	0.00316250785239	0.00202713085902
s	0.168577158795	0.768417476993	0.0252896869076	0.00359080099652	0.0191977958211	0.00151170206236	0.000187213732405	0.00804418647632	0.00518399439117
s	0.127924808118	0.778072928998	0.0365581509492	0.00704502743364	0.0244771393098	0.00549567113798	0.00266311258046	0.0114120534352	0.00635108968073
e	0.0708741583493	0.717798268999	0.157458708063	0.0142100222175	0.0197477415499	0.00721862253226	0.00379506334238	0.00625609351013	0.00264128066481
r	0.0516400695891	0.573758463	0.288040900688	0.0268951665592	0.0318911768093	0.00727856127809	0.00254691903563	0.0158687283137	0.00207998391605
e	0.0466153179277	0.368504430867	0.437312966229	0.0726153229397	0.0422392315091	0.00856694760603	0.00249607285428	0.0189036313865	0.00274607619367
k	0.0334311406306	0.170439924289	0.56740617341	0.0988969851799	0.0797333042164	0.010089169242	0.00315306405756	0.0287270256551	0.00812320409319
a	0.0274183629542	0.0921908033697	0.506778491803	0.170001089727	0.126521121772	0.0287706839273	0.00478887042252	0.0320151081919	0.0115154468969
e	0.0193641546981	0.0420204133232	0.380021333401	0.250372356176	0.204586747024	0.0476272084891	0.0310058658722	0.01602933238	0.00897257932259
s	0.0124071321324	0.0252486621444	0.275265240934	0.196517057079	0.360672229008	0.044621439323	0.0418948217574	0.0352190728345	0.0081543417288
ò	0.0103049212219	0.0184473381248	0.203631078391	0.154577447913	0.475207012336	0.060919752201	0.0294088035858	0.0402351930081	0.00726844616303
z	0.00969891887197	0.0116754634396	0.158991544544	0.154620342904	0.480003347445	0.0843699539337	0.0362402031419	0.0493395044526	0.0150607185062
i	0.00786824259132	0.0098905423012	0.112325095601	0.130077291968	0.393142309815	0.147931182911	0.098352165714	0.0757705662642	0.0246426056707
k	0.00696329436244	0.0105965820264	0.0591202762537	0.0895261053227	0.359006285938	0.164155987637	0.159362252258	0.117323407108	0.0339458120436
à	0.00649982070348	0.0111103725515	0.0386711880512	0.0532720248409	0.336213297979	0.170247874546	0.210868646573	0.141765014636	0.0313517695745
i	0.00716449032783	0.0136932174238	0.0216139499271	0.034910891427	0.235691984393	0.210740698182	0.294961924058	0.125107693172	0.0561151599448
o	0.00876378751594	0.0183588132946	0.0120341795798	0.0208077886557	0.147945657398	0.197011040061	0.368779609353	0.108511512157	0.117787612315
b	0.0138613177166	0.0259342050375	0.0138922936874	0.0117585541319	0.0827108793327	0.14423950876	0.351803140051	0.208402707259	0.147397392572
à	0.0197443714655	0.0265325671625	0.0178859335371	0.0084026184173	0.0462243992442	0.07823823346	0.26808760695	0.398106143486	0.136778127991
g	0.0155247169006	0.0160892777458	0.0123107626537	0.0056801401251	0.0287926596147	0.04760144752	0.195944652383	0.512410752229	0.165645579997
n	0.0212559516382	0.0117387275788	0.0171339106937	0.00349972368703	0.0253390744116	0.0316048065987	0.175624322728	0.502969455543	0.210834012559
o	0.0234918775139	0.0120227904382	0.0198421431551	0.00468282371501	0.0197096921972	0.0231692986296	0.177164158216	0.386828894248	0.333088311413
</S>	0.0130083782669	0.0092137732331	0.0122382346995	0.0056515969575	0.0147487379786	0.0162815256718	0.156166763268	0.319212412524	0.453478564706
