 	mia	sorella	quest'	anno	che	vienne	studierà	per	medico	</S>
i	0.738517636	0.19880832187	0.01200365255	0.00791125791143	0.00560659156111	0.000452016853251	0.00515034736692	0.00292854884058	0.0171953665024	0.011426255523
a	0.514584793167	0.411611164663	0.0192272448967	0.00788885673034	0.00730084764082	0.00102876424539	0.00526557437156	0.00355913310378	0.0174624839282	0.0120711468889
d	0.348720631772	0.591276740221	0.0306284542322	0.00776909008278	0.00445041505062	0.0012118035512	0.00246477060435	0.00193991146865	0.00621946326497	0.00531874211135
e	0.233191415673	0.70381630474	0.0430489734774	0.00865713642513	0.00218138727041	0.000954156777193	0.00141737767984	0.00127678037908	0.00214522978067	0.00331125569548
r	0.159925801115	0.74724688358	0.0732499552258	0.00804753085924	0.00194398231434	0.00189917473212	0.00142737359549	0.00109169229228	0.000825711030801	0.00434190967297
f	0.180904349369	0.640979607793	0.141180301475	0.0230067686664	0.00356516518011	0.00234250523937	0.00272245539336	0.000720772920453	0.000625611301447	0.00395246507855
ì	0.151139123266	0.541137964531	0.261841990892	0.0331665083588	0.00595324214644	0.00142451421172	0.0027234578198	0.000567520636193	0.000495070520329	0.00155060632629
m	0.0671862242913	0.46596810951	0.401653440964	0.0376978139029	0.0106767288749	0.0036312217753	0.00408603835714	0.00200106947767	0.000642288706023	0.00645707055835
m	0.0899755475504	0.40080261037	0.387234951655	0.0554852212276	0.015431951728	0.0111818162731	0.00892892322298	0.0154712554454	0.00691127509047	0.00857646868194
u	0.0907893600728	0.296667839497	0.405341748552	0.125297719809	0.020705588226	0.0121724965882	0.0162002718384	0.0207378025567	0.00864684276768	0.00344034896277
f	0.0456399914269	0.145857322006	0.531164134184	0.20082931727	0.0310430105953	0.00993954325473	0.0157465019333	0.0105644746257	0.00507021794569	0.00414549785286
è	0.0270496559063	0.073293712782	0.539335884728	0.290265232423	0.0377343516851	0.00998742170691	0.00884690158818	0.00533694640757	0.0037891443778	0.00436074513077
t	0.0132017219041	0.0396628398673	0.529251604243	0.335326864141	0.0469905007617	0.0186586437203	0.00641368707201	0.00412699243778	0.0019455395353	0.00442159007505
i	0.0115922576007	0.0289388220458	0.410319406081	0.370792986714	0.109520421921	0.0404054009601	0.0178090931267	0.00443306512391	0.00147732217647	0.00471120693332
p	0.0110730812985	0.0150693017433	0.259548635294	0.481161542238	0.159352546774	0.04526463312	0.0217526091356	0.00333652565197	0.00111818896166	0.00232291921313
ò	0.00677272182643	0.00669096230377	0.191123252165	0.492386754746	0.195803455991	0.0870802309733	0.0155974595879	0.00236612888679	0.000857416711953	0.00132161185193
r	0.00387033238388	0.00371815738059	0.128424955588	0.408565016915	0.294863533997	0.136397795924	0.0167445186786	0.00265179491173	0.00123641676245	0.00352747430744
k	0.022871445031	0.0089729099682	0.099698926376	0.351167045638	0.315819005066	0.147907276575	0.0210414810062	0.00829701958324	0.0128762392588	0.0113486410085
e	0.0302882343929	0.0111158394101	0.0571154943073	0.258953719146	0.336730854755	0.218993804125	0.0476194716487	0.0116813868444	0.0161600899216	0.0113410872528
t	0.0126287951657	0.0048006021935	0.0263576329531	0.192469366315	0.386652028252	0.295698124042	0.0546156254562	0.00860508858147	0.0089877326232	0.0091849771336
e	0.00714721713343	0.00409925456517	0.0167409647172	0.143444029278	0.337928545417	0.370498778681	0.0897073603254	0.0128656283005	0.00716637150907	0.0104018194241
e	0.00586763175714	0.00451813274172	0.00915197544193	0.0657510236727	0.223292300406	0.434228754227	0.217823425108	0.0270680191335	0.00408861533302	0.00821010026241
n	0.00426224363474	0.00270919437984	0.00470049531671	0.0586674981642	0.147518601735	0.453730427409	0.273275053169	0.0369693458645	0.00768237938301	0.0104847526793
a	0.00399291665261	0.00521118061175	0.0058516227021	0.0429566341507	0.131374491912	0.443586353136	0.29336770519	0.0512488875748	0.0114726513077	0.0109375560088
s	0.0040984644848	0.00595690416312	0.00581185709877	0.0215858703729	0.112272673104	0.398277689045	0.34435957973	0.0733201095249	0.0196695385426	0.0146473009159
t	0.00460791631647	0.00271534311297	0.00333823747336	0.0141091180816	0.0848578170347	0.398724871948	0.324739862577	0.085228673175	0.0355766648475	0.04610147615
u	0.00384976993469	0.00251245069905	0.00253649614929	0.00665927973287	0.0442074459582	0.324668646116	0.408900178192	0.122648309525	0.0320749647358	0.05194243603
d	0.00262934122016	0.00211880992194	0.00196058358673	0.00555831826929	0.0273956974194	0.245455130572	0.451623902797	0.149559993842	0.0668057549653	0.0468924293433
i	0.00490366802372	0.0040997718327	0.00401972769414	0.0046951561851	0.0262368850705	0.202833960991	0.374849027666	0.219655194214	0.108090814015	0.0506157612278
è	0.00592185050357	0.00527196516483	0.00488329224898	0.00289826324703	0.0168830192028	0.109391737597	0.404360346822	0.298047786871	0.118497540098	0.0338441848759
t	0.00368168249473	0.00247088414065	0.0023638149426	0.00191232940378	0.0082084412756	0.0965551551123	0.391968428141	0.28469652709	0.183922076633	0.0242206489426
s	0.00904377213712	0.00820040893226	0.0108265842743	0.00365990093388	0.0120921549743	0.128208746251	0.24432104558	0.23486628243	0.294527547611	0.0542535461582
i	0.0108291443714	0.0110676811986	0.0147496226033	0.00505629860274	0.0124279811095	0.0981654564397	0.206294136593	0.20692146641	0.310196431004	0.124291785859
j	0.00489409587802	0.00487023753933	0.00624593273604	0.00334353528651	0.00573687056743	0.0822425236426	0.206096586764	0.197376017603	0.328558350801	0.160635869733
a	0.00431767773569	0.00445840970344	0.00618449633639	0.00314544021561	0.00627192708708	0.0749497965722	0.113039976975	0.190483829134	0.435906870267	0.161241593864
m	0.0057276103557	0.00452133665581	0.0063404535734	0.00289337071178	0.00641611137116	0.0460849742394	0.073172543345	0.184661692045	0.495900783422	0.174281119308
è	0.00664753691823	0.00275940353827	0.00526251354041	0.00504361851949	0.00695468670392	0.0373322455865	0.0536187848843	0.155874648748	0.563604831807	0.162901717203
d	0.00500502113474	0.00241814520168	0.00472026693389	0.00549681360064	0.00721720476831	0.0188583866335	0.0388568060789	0.118392819716	0.649860629269	0.149173899701
i	0.00428223287491	0.00590001406049	0.0073850172106	0.00869313650706	0.0098734018785	0.0205516380212	0.0505589575278	0.0808739552933	0.535046539756	0.276835107434
k	0.0215016552516	0.0102171135504	0.00991690754425	0.010251770914	0.0114286571862	0.0246157977351	0.0486222108739	0.0640648992658	0.474957663919	0.324423322345
o	0.0280361867639	0.0101449517309	0.0087464647292	0.00670360041387	0.00914506643813	0.0225039268726	0.029176960716	0.0680718732373	0.502079800373	0.315391165388
</S>	0.018220060338	0.00955133137815	0.0098835839977	0.00732713389804	0.0106208317462	0.0255051727076	0.025402245578	0.0762555210717	0.440972011787	0.376262108604
