 	il	ladro	è	entrato	da	qui	</S>
o	0.6814414731	0.29841023494	0.0082573648748	0.00259460971162	0.0029089723774	0.00155778582451	0.00482959394345
l	0.46696003214	0.507456338313	0.0113102723809	0.00451771536187	0.0028496666198	0.00158394476558	0.00532203850112
à	0.294222657153	0.674913366104	0.018886260843	0.00650448774996	0.00157094693817	0.000948576049202	0.00295369142211
d	0.151555755251	0.794052764701	0.025298429381	0.0146119059793	0.00251114227829	0.00446791012108	0.00750207613317
r	0.193029463084	0.650194100767	0.0333116742937	0.0646598261931	0.0208362598138	0.0136888059277	0.0242798631773
o	0.204469202266	0.422450463722	0.159449840991	0.105889130064	0.058252492807	0.0214441163742	0.0280447623356
i	0.0952995875667	0.273877994441	0.386189954664	0.145291884021	0.061493504723	0.0192448064657	0.0186022730763
m	0.0350552437489	0.144627505654	0.425589825221	0.32312197734	0.037262678481	0.0210945727346	0.0132482001066
b	0.0170644624159	0.070382341126	0.280435811674	0.564219701113	0.030600014787	0.0297269121409	0.00757075452767
ì	0.0116135286576	0.0341567345767	0.292906640158	0.477091089971	0.130775117062	0.0389807988063	0.014476075322
k	0.00715726741533	0.0196335673089	0.277071709833	0.429846510924	0.182841018687	0.0571935856634	0.026256331868
e	0.0450890045539	0.0182592306196	0.138159820324	0.403395890441	0.233262350162	0.121696269188	0.0401374521893
a	0.0620134631166	0.0230428199332	0.0831357075633	0.18299838068	0.349352165654	0.236880061896	0.0625774315431
p	0.0286844632959	0.0173580522587	0.0503506032364	0.114907116627	0.360415585085	0.325704122432	0.102580074499
ò	0.013457109489	0.0085450269159	0.0257621992921	0.066347964783	0.309489391148	0.409177775677	0.167220525737
t	0.00650038573375	0.0043167819053	0.012132574852	0.0311772541723	0.243373677169	0.541052458959	0.161446852106
t	0.0083685937954	0.00436110102827	0.0114318607425	0.0257399364014	0.159287341856	0.616525031653	0.174286120975
u	0.00973514825187	0.0061730828966	0.018920705685	0.0222050557341	0.0840920925293	0.529635071218	0.329238840325
</S>	0.00642779907593	0.0064740895763	0.0245073714129	0.0202633587576	0.0705092203307	0.442485158609	0.429333004563
