 	è	che	stanno	ancora	alzati	</S>
è	0.7299113699	0.17793679338	0.0395519275457	0.0150369844005	0.00337585039319	0.034187093293
n	0.545440102567	0.258089399727	0.100853232495	0.0177644906648	0.00555571803546	0.0722970578109
a	0.332432771989	0.333170345909	0.250888366565	0.0155526001656	0.00473711029335	0.0632188006086
s	0.138538972456	0.40151460997	0.400717822188	0.0169641577019	0.0100126420947	0.0322517845241
t	0.055471584678	0.418088602323	0.477499382729	0.0129957495906	0.0141446050615	0.0218000643182
a	0.0243497256567	0.323596639308	0.60307959491	0.0228368206802	0.00896826406777	0.0171689505864
s	0.0228922999102	0.193791961103	0.678414096303	0.0625932584067	0.0211920327113	0.0211163284203
ù	0.0311698981167	0.121684197168	0.644866458768	0.153638105602	0.0269152646684	0.0217260634094
n	0.0565397601742	0.0662106795893	0.626143415589	0.209775275867	0.0147536095861	0.0265772634382
e	0.0718668418647	0.0495138444698	0.47482500013	0.317272021156	0.0565590991954	0.0299631913518
a	0.0501991064096	0.0352370162866	0.230474223043	0.543255184385	0.103689156698	0.0371453079639
n	0.0297935537479	0.0201645136322	0.095565691681	0.641795432662	0.114078664059	0.098602137488
k	0.0351077856885	0.0480475759711	0.0887620194163	0.485403492087	0.159540787846	0.183138340523
ò	0.041386716854	0.0581968214034	0.0843563555221	0.412864728162	0.249227075815	0.153968311934
r	0.0283063302919	0.0240224311938	0.0359573581014	0.550503094187	0.256584942005	0.104625854545
a	0.0330793182979	0.0147084456013	0.0245942285338	0.469823919529	0.305338890402	0.152455198815
o	0.0385106928214	0.0163721180004	0.0204579677337	0.238067396643	0.509714674134	0.176877144138
r	0.0235245228105	0.0136408905963	0.011487522469	0.124444722781	0.589607101578	0.237295242913
t	0.0153717718391	0.0117365640508	0.00896215787193	0.11744376896	0.495358863126	0.351126880804
ì	0.0128940701329	0.0113447871369	0.00856117719991	0.09857139812	0.495522438109	0.373106131568
</S>	0.0113755095548	0.0094815535796	0.00628200394345	0.05830782556	0.559146686055	0.355406431284
