 	vuole	vuole	mangiato	caldo	</S>
t	0.966041261	0.021450591223	0.0015767179191	0.00074804715674	0.0101833274512
è	0.938350846333	0.0476509586743	0.0028968512457	0.000789677899673	0.0103116318765
l	0.882114460778	0.101156758958	0.00723972505657	0.00201751489988	0.00747152574443
i	0.623108148926	0.312973902986	0.0514810418055	0.00526873522402	0.00716816379128
t	0.297890177175	0.614855614995	0.0734264018685	0.00554622301161	0.00828155485543
è	0.133637672825	0.792326877665	0.0618286002228	0.00389188928627	0.00831493668388
l	0.062835176775	0.828036374555	0.0821530060076	0.0145711681382	0.0124042795281
i	0.0450384713783	0.631497240185	0.267405233336	0.0334827653067	0.0225762844117
f	0.0328054561328	0.439641538062	0.459595725779	0.0420193238622	0.0259379228306
a	0.0192405696443	0.301052124354	0.600923424593	0.0510522251607	0.0277316210502
m	0.0115826464548	0.147631268825	0.688462124198	0.101480396614	0.0508435666101
è	0.00853644508227	0.086470622215	0.704737559399	0.135527915071	0.0647274681167
n	0.0309786047261	0.051239927505	0.632895281133	0.185805789624	0.0990803985522
o	0.0481780260434	0.0417837051197	0.387349394644	0.348924429875	0.173764447584
t	0.0439885677853	0.0255140108439	0.221469841815	0.509462011958	0.199565574261
r	0.0308881735516	0.0152306715006	0.155486023185	0.574486474653	0.223908669687
e	0.0116492858829	0.0101111395825	0.107094208328	0.607480676884	0.263664697162
m	0.00502789135563	0.00570920541117	0.0614632905693	0.672897089628	0.254902536987
m	0.00326023951701	0.00406157720172	0.0335985358738	0.710267658943	0.248811995042
ò	0.00890902244947	0.00891763085724	0.0291190961953	0.582548395848	0.370505847594
</S>	0.0145699582247	0.0135180099686	0.0315894945877	0.459439330624	0.480883201997
