 	il	morto	vuole	pianto	</S>
t	0.948902918	0.035285441697	0.0055865437645	0.00475407193712	0.00547102447185
o	0.819587119733	0.146071686699	0.0119313072228	0.0166260977854	0.00578378969538
n	0.619569353178	0.32552114886	0.0235266554323	0.0189191276285	0.0124637167569
a	0.476367488193	0.472544090953	0.0277299047974	0.0086153615385	0.0147431610664
p	0.300913673211	0.648028967651	0.0371761896791	0.0049593716217	0.00892180385558
e	0.178037684797	0.766058395217	0.0452555504264	0.00316758223523	0.00748077832559
s	0.120804305268	0.810763561739	0.0573954507421	0.00353027489708	0.0075063858516
a	0.068913511938	0.773295367913	0.141147213047	0.00601834566503	0.0106255450356
m	0.0497941820927	0.690327565304	0.210696177682	0.0298680634303	0.0193139965269
m	0.0378042718616	0.611118747035	0.242005400161	0.0484870109341	0.060584572827
è	0.0453365661919	0.455657028945	0.352255875654	0.0580345852244	0.088715962595
n	0.0327888630486	0.448106346982	0.363367896551	0.0749867704575	0.0807501444902
o	0.0657961435135	0.370938460094	0.342389559517	0.112016121546	0.108859730454
t	0.0735882007008	0.150298837358	0.495729128506	0.163596665649	0.116787176978
è	0.0313093208546	0.058856689346	0.647184730835	0.168359286263	0.0942899881793
l	0.0172198194618	0.0266417587153	0.661003737345	0.188098062068	0.10703664082
i	0.0249895466095	0.0253849608658	0.466692673315	0.242480361209	0.24045246574
g	0.0490313051992	0.0257462098026	0.255611715572	0.33923028339	0.330380484247
l	0.0470773688081	0.0202938007557	0.167226685244	0.456888222797	0.308513922949
e	0.0331698640917	0.0250227884047	0.0987963061213	0.479473679066	0.363537365516
m	0.0251276843257	0.0226321258519	0.0609599304271	0.534177630155	0.357102633172
m	0.019684331329	0.0309300446912	0.0567899369224	0.538455607292	0.354140080524
è	0.0385228230083	0.0392723528613	0.0773986047408	0.417378550191	0.427427666975
n	0.0633260962721	0.0329026991422	0.0863275927376	0.382310591917	0.435133027658
o	0.07033914384	0.0343958702265	0.0761893424632	0.296397184206	0.522678472353
</S>	0.07209518455	0.0348303262833	0.0725666064016	0.193896608453	0.626611284876
