 	sul	muro	vuole	uno	specchio	</S>
s	0.946206119	0.0487409286083	0.00126344163058	0.000124346870233	0.00186146360688	0.00180374361123
t	0.931528980333	0.0595096596808	0.0023762794761	0.000494160962644	0.00421212673564	0.00187883120533
o	0.762400496178	0.188337142438	0.0136792761053	0.0257086362094	0.00722254896832	0.00265190424855
t	0.404734271286	0.453774312813	0.0308268013084	0.0345722580877	0.0695468935751	0.00654543939848
ì	0.179522135082	0.659783846938	0.0503227161695	0.013765709227	0.0904648774699	0.00614067526416
c	0.134954422267	0.724480784313	0.0687075824565	0.0112815703185	0.0498072220173	0.0107683958297
h	0.203931515476	0.631842171531	0.0516507617995	0.0650350344788	0.0346016626235	0.0129388673872
o	0.215591734572	0.517872613937	0.132498676781	0.0951376179776	0.0319578658447	0.00694150589371
t	0.107884692544	0.367614003046	0.376638195327	0.0573923026325	0.0810775553412	0.00939325580774
è	0.0413472323625	0.207860871129	0.621623771776	0.0351455330308	0.0840443716578	0.00997822827793
l	0.0206159527536	0.11527948093	0.780719097259	0.0331746362903	0.0412666597753	0.00894418755463
i	0.100794031563	0.07835072513	0.697143585086	0.0357466335701	0.0646916250918	0.0232733990329
o	0.140696316801	0.07390602967	0.431910271029	0.159990118523	0.154016605864	0.0394806526576
j	0.0637021915557	0.04516539543	0.287109440676	0.322271053308	0.238638809288	0.0431131079659
e	0.0313248362272	0.0281037375207	0.218041782819	0.371759751969	0.283963234296	0.066806653322
l	0.0201878527137	0.0211921416182	0.126602830133	0.369838172496	0.346154497165	0.116024510027
ì	0.00866616384923	0.0111219339727	0.0785497275097	0.323355877843	0.406584190122	0.171722106529
</S>	0.00578712701461	0.00710767369535	0.0709715195528	0.291569328979	0.422792696561	0.201771645464
