 	è	possibile	che	è	entrato	da	qui	</S>
i	0.663789227	0.28879764032	0.007584911072	0.0063232793792	0.00186394097722	0.00667673362325	0.00409932123413	0.0208649178534
s	0.4932946392	0.432712374307	0.020460533864	0.00836333116107	0.00522643070107	0.00690713119682	0.00436586433142	0.0286696845796
o	0.311532272587	0.586208792769	0.0498859480813	0.00929282733169	0.00919219257902	0.00595757948594	0.00263423044513	0.0252961497511
g	0.146903384442	0.71225876759	0.0892273161871	0.0132809665639	0.010318224745	0.00570925093345	0.00211889345804	0.0201831992482
g	0.062963639674	0.67738068653	0.138796110936	0.0437672576613	0.060663798695	0.00306716840235	0.00184438302775	0.0115169797907
è	0.0358227071	0.555183577177	0.240111113112	0.0661210798871	0.0891715492699	0.00570856369918	0.00253479635384	0.00534662959217
s	0.0500245262253	0.507237064726	0.284000230837	0.0562546497557	0.0819747188882	0.00708889298346	0.00776187343014	0.00565804552562
t	0.0496703796515	0.456170060935	0.282177573612	0.0626618613786	0.108278243389	0.0142538238185	0.0145711634794	0.0122168973423
e	0.0242809248769	0.284941222725	0.381312985537	0.130126961193	0.10147285573	0.0475534163355	0.0172708156359	0.0130408261341
k	0.0208951154883	0.132713468695	0.407319011846	0.191216286931	0.16311954071	0.0524215222292	0.0236120825644	0.0087029849471
a	0.0232585473188	0.074105135645	0.283499980615	0.303103404844	0.199709952437	0.0752545084097	0.0301819344055	0.0108865315988
m	0.0160409299499	0.0301942669083	0.158227229072	0.323941630748	0.310436585479	0.0953771986699	0.0515261451325	0.0142559936003
b	0.0110764213343	0.0147520950557	0.0826013005973	0.196868614183	0.541867293826	0.0702403099566	0.0708942992308	0.0116996683841
ì	0.0220780480681	0.0108174262248	0.0446319515058	0.189154332461	0.433081241209	0.212105132519	0.0648348259703	0.02329706063
k	0.0243658096983	0.0076856371856	0.0270544913553	0.171329532087	0.359545014336	0.278954827506	0.0924805073901	0.0385841973947
e	0.0600960735191	0.0125617629725	0.0253276772384	0.107994125296	0.329483741445	0.243735891169	0.161666753263	0.0591339913316
a	0.078991472493	0.0180928470335	0.0242220057955	0.0747769129987	0.143792817548	0.313899972856	0.262066652421	0.0841573223772
p	0.0376167908691	0.0146080446105	0.0150629723072	0.0422616568682	0.0822041714627	0.314721605325	0.36895551214	0.124569249573
ò	0.0188000082191	0.0111023526408	0.00879038407373	0.0217768678114	0.0443110586889	0.233209225922	0.465672370647	0.196337732065
t	0.0108416004929	0.00681832148713	0.00472419659891	0.0100124759645	0.019875430135	0.159528950034	0.604980966149	0.183218068982
t	0.0128868713507	0.00357973495708	0.00862369351757	0.0093059813785	0.013639819853	0.103097303916	0.67620136605	0.172665248861
u	0.0154615864642	0.0137094895093	0.0127878479385	0.0176214422053	0.0131880396163	0.0599294258153	0.53876297795	0.32853918562
</S>	0.0116065964361	0.0241978578373	0.0116452953348	0.0228996877468	0.0143073369701	0.0542279715456	0.415767304875	0.44534793181
