 	la	donna	pulisce	la	casa	l'	uomo	no	</S>
e	0.757095246	0.225138428356	0.0057645112638	0.00136839911245	0.000542453214527	0.000139759260522	0.000255851416614	0.0065269719863	0.00316839818023
j	0.582164786667	0.375471139652	0.0201495584813	0.00281405611648	0.00115212366808	0.000304921799002	0.000472789071033	0.00774804154233	0.00972260750998
i	0.412656742156	0.519572718351	0.0310194977338	0.00291674732549	0.00131664181589	0.00135117915298	0.000520320574156	0.00482495259197	0.0258212201513
n	0.246286722585	0.63488728745	0.0760293625913	0.00418795847316	0.00299382483016	0.0018390053995	0.00106914315553	0.00593577064252	0.0267709206754
è	0.132200045602	0.70684899315	0.133368922337	0.00569419232505	0.00335594850919	0.000945817781187	0.00113790425063	0.0053233329722	0.011124837659
k	0.0730992295607	0.763983356383	0.139729241812	0.00799632124702	0.00266902149353	0.000868699320996	0.00164026514846	0.00300617430782	0.00700770892324
a	0.0499268326802	0.542989562528	0.371628553671	0.0180895087623	0.00490194925318	0.00126565808587	0.00227310121389	0.00305117414317	0.00587365987441
p	0.0492563050067	0.282185207609	0.598555173224	0.0499365684541	0.00886687714173	0.00152021750776	0.0016928768157	0.00538976416149	0.00259696971957
u	0.0455003903449	0.183640596463	0.672513473075	0.075871650618	0.0102039631939	0.00249721119059	0.00131928396003	0.00563634210331	0.00281706081202
l	0.0216093626223	0.103425195288	0.719914648358	0.115820780539	0.0200742383846	0.00362257777486	0.00188056571481	0.00517086000418	0.00848179228563
i	0.0131564335425	0.064130807592	0.689329624786	0.181599014846	0.0293632524282	0.00485618464029	0.0025854865158	0.00520817953363	0.00977104210524
z	0.0091855600399	0.035013898562	0.624850907595	0.259955424282	0.0435539678427	0.00621020375543	0.00344944723947	0.00631395122718	0.0114666591855
z	0.0105226205326	0.0364232465275	0.426044958598	0.382338661427	0.105653046881	0.0148283844851	0.00392794391316	0.00864463842639	0.0116165308769
è	0.0110792328352	0.0286468183207	0.286567671599	0.504530361142	0.130451425827	0.024253041415	0.00424327634572	0.00560244297293	0.00462576333403
i	0.0114306182721	0.0132237013402	0.208000388866	0.517272935047	0.178451695742	0.047769953565	0.0169176265299	0.00448455494711	0.00244853675701
o	0.0137926861707	0.0112726438934	0.0998893117153	0.407121547682	0.317123151914	0.111431172562	0.0243506045566	0.00650354111504	0.008515328964
s	0.00971398436723	0.0107571064061	0.0489153620824	0.310158106561	0.426470496638	0.136563850721	0.0256959788589	0.014026204337	0.0176989000202
p	0.0100015748778	0.0141925302731	0.0303837236181	0.253658498987	0.503588668879	0.128703077107	0.024890312413	0.0180610191737	0.01652059195
ì	0.0103125980744	0.0130102425004	0.019090389478	0.195648875596	0.53404313896	0.166052056302	0.0332156812243	0.0148425370768	0.0137844904894
t	0.00695553897347	0.00552817910147	0.015410152018	0.186656326465	0.485458227653	0.200846318767	0.0418535857014	0.0222594236471	0.0350322671143
i	0.00949757438069	0.00365015395316	0.0139070209771	0.146762755555	0.368020955484	0.302776054256	0.0843294685671	0.0282487707784	0.0428072606518
o	0.0103794123711	0.00511930481572	0.0110798730002	0.0628666352117	0.242518941228	0.397309572419	0.192020855589	0.0347095298555	0.0439958814033
à	0.00757702468437	0.00604618521484	0.00831643304433	0.0266992542252	0.150546858543	0.366697894513	0.305891905196	0.0667687115385	0.0614557483671
n	0.0111254480323	0.00611239924455	0.00700149012884	0.0164367057964	0.101602806981	0.288738106211	0.333032896399	0.17376426458	0.062185906309
t	0.0175197396518	0.00706437324791	0.00625889720722	0.0201870321121	0.0989657599937	0.300729075404	0.2763896378	0.201212797127	0.0716726966763
r	0.0181624214771	0.0055435490459	0.00530119477208	0.019938333884	0.0913942146646	0.384893121135	0.2626539736	0.138067515509	0.0740456661654
e	0.0122164058167	0.00307109540883	0.00467682494056	0.0115445011347	0.0595687230349	0.311167128312	0.3161728732	0.159582895503	0.121999542295
p	0.00584600523423	0.00194461492168	0.00374524144259	0.0059907964129	0.0297544624183	0.158239376084	0.305142562667	0.287171044968	0.202165873032
o	0.00397998373988	0.00213295771416	0.0031151272064	0.00464467518777	0.015598787339	0.0756837612813	0.228691099156	0.425815622989	0.240337957944
d	0.00381135732776	0.00230141504399	0.0032358093624	0.00413937266472	0.00915733395653	0.0375479052404	0.175968363985	0.52485796033	0.238980463715
è	0.00688743477229	0.00194892220586	0.0023923557722	0.00316961060837	0.00907695245084	0.0264852271535	0.123197701862	0.589506223443	0.237335543805
g	0.00885557931636	0.00188022946409	0.00180493796273	0.00264913456992	0.00846597110488	0.0213542567112	0.0935454176207	0.607025683814	0.254418763435
g	0.0211495184224	0.0035987046027	0.00469326160998	0.00652409302764	0.0101396464382	0.0270799050171	0.11946084414	0.561350080271	0.246003920745
h	0.0314069278517	0.0144188389504	0.00899944336883	0.00955851573988	0.0147635267827	0.0533490820324	0.173710157047	0.460060149757	0.233733340648
e	0.0206231211064	0.0179462330677	0.0117058967178	0.00799082652796	0.0187219309876	0.0553946104041	0.149440450149	0.355957674086	0.362219250083
</S>	0.0133819963932	0.0123940622849	0.0130651712269	0.00771470976598	0.0224099464438	0.042424716632	0.0994463185745	0.295423501293	0.493739567641
