 	Marika	non	ha	mangiato	mai	un	rustico	</S>
e	0.887124694	0.097912358021	0.009743712518	0.00233004498285	0.000695950263197	0.000923376254448	0.000167563713446	0.00110226578831
M	0.855722613467	0.0638259691737	0.058871270786	0.00627375702275	0.000876956810366	0.00146079651494	0.0112909756209	0.00167764046727
à	0.742860507956	0.130296923738	0.0988724011287	0.00915825196758	0.000955428728122	0.00130268120274	0.0152382518772	0.00131554734008
r	0.602330873719	0.232657833346	0.12139770811	0.0287620046092	0.00199515079751	0.00113621111247	0.0108598647011	0.000860353087711
i	0.360714842633	0.326355271015	0.228888844237	0.0634874126364	0.00586551162524	0.00366447784542	0.0097805230513	0.00124311003341
k	0.162380735276	0.328695721005	0.368013690746	0.104344327745	0.0115280307807	0.00643985970181	0.0159302536552	0.00266737147732
a	0.0767650581307	0.225202223335	0.505225102249	0.148341090448	0.0165882718392	0.00609435701994	0.0178006533714	0.00398325172034
e	0.0375348567902	0.133361582025	0.539607497416	0.240374780483	0.0187037688331	0.0185373423666	0.00789096195005	0.00398921281781
n	0.0237354761587	0.0709252821083	0.437344869805	0.391951522161	0.027001002963	0.0245248863362	0.0205693675199	0.00394758314892
è	0.0115107570796	0.0420848769894	0.317345580402	0.541189344054	0.0465505045197	0.0148031912207	0.023617809766	0.00289794850119
f	0.00565008576853	0.0260220324071	0.229281811667	0.637139248685	0.0596568260812	0.0164598862156	0.0205764599407	0.00521367529748
a	0.00576957112684	0.0159552432464	0.146081183689	0.579769117962	0.190035951468	0.0342584249985	0.020562611002	0.00756790689323
m	0.00673175043228	0.0124221743755	0.0721994716297	0.473376445321	0.315531304603	0.0523364518195	0.0536571702225	0.0137452287416
è	0.0160214996948	0.0093288985785	0.0367701019099	0.386765129667	0.411334670314	0.0603847962732	0.0643232604638	0.0150716343828
n	0.0212760047395	0.00890819325103	0.020686617854	0.291862173249	0.480930678971	0.0835990162911	0.0727437345709	0.0199935846298
a	0.0126627536004	0.00862914915988	0.014697339364	0.186377179919	0.49087871319	0.18533239743	0.0785428889276	0.0228795863146
m	0.0082133927768	0.00836726427396	0.00935412711667	0.0948750509757	0.496577221463	0.24398068821	0.0965300363799	0.0421022180629
a	0.0056638299272	0.00887676267265	0.00908856262556	0.0587407745764	0.419774088021	0.342198777803	0.104061309387	0.051595911627
i	0.004570586594	0.0104219446375	0.00925476693519	0.0324740320999	0.289925718567	0.554736085934	0.066875382429	0.031741516595
a	0.008332720958	0.0096474767045	0.0078103366604	0.0183715089059	0.153406665316	0.702227343978	0.061024255783	0.039179714345
r	0.0087307454078	0.00667420049246	0.00673580346447	0.0116908078782	0.0895078908053	0.573702597659	0.217590546528	0.0853674085617
ù	0.00468436426507	0.00569911685045	0.00512246591182	0.00847525270633	0.0808287407484	0.394612019553	0.378367816443	0.122210217167
s	0.00255588854173	0.00409459665232	0.00402702210566	0.00547643728334	0.0613120814255	0.340711357384	0.463568198414	0.118254424989
t	0.00201055724179	0.00359908143382	0.00263605090873	0.00346418027608	0.0355444984365	0.232015085456	0.618016857471	0.102713696776
i	0.00241341605244	0.00544818055108	0.00298587035136	0.00721386462877	0.038504469076	0.183128560275	0.553871047824	0.206434597885
k	0.00188054039655	0.00454964929838	0.00315087502036	0.00767900116412	0.0291277858611	0.12657609227	0.585544297941	0.241491766895
o	0.00280302577926	0.0129462086509	0.00840732793109	0.0110010877358	0.0246271830933	0.0950545678587	0.559915605314	0.285245020098
</S>	0.00415487985663	0.0231956880501	0.0145566120301	0.0177335793322	0.0337105295	0.119975691806	0.377590364657	0.409082699849
