 	non	sono	ancora	vestita	</S>
a31	0.13487957	0.15218727	0.07073937	0.3210649	0.3211289
a23	0.037014645	0.0037749903	0.12403194	0.6315014	0.20367703
a31	0.26929837	1.52214925e-05	0.39489836	0.17510541	0.16068263
a7	0.796543	0.015544648	0.12519799	0.040629238	0.022085063
a31	0.07718793	0.00027969375	0.33452988	0.20322363	0.38477892
a13	0.70273036	0.00017057636	0.2597302	0.028815141	0.008553813
a31	0.17032593	0.120509036	0.24292287	0.30210507	0.16413707
a37	0.30411607	0.0038000296	0.16234703	0.42414275	0.10559409
a18	0.19032654	0.37700942	0.30168605	0.0687955	0.0621825
a31	0.24826425	0.2297094	0.1871493	0.15128057	0.18359637
a46	0.1855017	0.15442885	0.16727482	0.31544733	0.17734727
a8	0.1934574	0.16659838	0.17816658	0.23458137	0.22719629
</S>	0.19981642	0.19279706	0.19342655	0.20913798	0.20482197
