 	qualcuno	al	telefono	vuole	sapere	dell	Anna	</S>
a23	0.7685921	0.08957248	0.0017875064	0.0033809876	0.008472674	0.007032512	0.08593195	0.035229824
a31	0.0058150934	0.0066923085	9.150843e-06	3.208089e-05	0.33167258	0.007621813	0.0952427	0.5529143
a29	0.25336838	0.05287262	0.00012953076	0.0008465922	0.27168608	0.01796125	0.33417243	0.0689631
a46	0.008260388	0.030438608	0.0005947612	0.0050411928	0.053142823	0.017502913	0.49868852	0.38633078
a11	0.0020089692	0.074651435	9.820343e-05	0.017947678	0.54501724	0.00097610673	0.08786552	0.2714349
a20	0.0005465112	0.21966779	0.00012733424	0.006476197	0.33453584	0.053084534	0.15860103	0.22696072
a8	0.0021655543	0.006479885	0.00013752196	0.000103415725	0.10963669	0.110177636	0.52701145	0.24428783
a31	0.0007267145	0.005954932	0.00024183528	0.00041867638	0.026886236	0.2232067	0.5148853	0.22767961
a38	0.022771167	0.013661104	6.912021e-05	0.00014145642	0.020283481	0.04088554	0.74881595	0.1533722
a31	0.012504321	0.12558633	0.0057738586	0.008849067	0.050591864	0.2306021	0.4410288	0.12506355
a24	0.03611654	0.0053423615	0.00015424307	0.0001849276	0.010266959	0.050198447	0.73008686	0.1676497
a37	0.021389503	0.2358175	0.008590143	0.013411198	0.039546628	0.13096486	0.43734172	0.112938404
a15	0.018629989	0.48096249	0.022446483	0.04249037	0.045391686	0.22437206	0.10092045	0.0647865
a31	0.05031194	0.3719819	0.032936335	0.061662648	0.059139315	0.13326488	0.2108606	0.079842456
a20	0.4776098	0.058499426	0.039686937	0.040461283	0.06894889	0.093964286	0.13563183	0.08519753
a31	0.13560714	0.1515172	0.040139023	0.05576824	0.104479134	0.116983406	0.2240471	0.1714588
a37	0.321697	0.08137063	0.07414959	0.07452078	0.12313684	0.103638634	0.12940839	0.09207812
a46	0.12910087	0.12940829	0.074333206	0.07812849	0.10418399	0.15781336	0.15873863	0.16829322
a20	0.1381703	0.12643117	0.10638635	0.10911673	0.12362519	0.11572295	0.12272116	0.15782614
a24	0.1314795	0.124029376	0.11740134	0.118530385	0.12402252	0.12082924	0.12479466	0.13891295
a31	0.13187374	0.12464759	0.11766963	0.11886834	0.12414766	0.11940235	0.12321091	0.14017981
a17	0.29462335	0.10189992	0.099221915	0.10022142	0.10083115	0.09965795	0.10264273	0.10090157
a20	0.13079861	0.12362122	0.117974594	0.11901923	0.1240168	0.12129863	0.12542962	0.13784133
a38	0.12682252	0.12533136	0.122887775	0.12319944	0.12475395	0.123284064	0.12446161	0.12925926
a31	0.13046594	0.12406101	0.11943491	0.120362915	0.12447794	0.12069488	0.12401677	0.13648559
a17	0.2847129	0.10357191	0.10112096	0.10223453	0.102252856	0.10116881	0.10295012	0.10198795
a31	0.12931892	0.123882316	0.120129034	0.120872326	0.12439493	0.121778294	0.12537105	0.1342531
a37	0.2214807	0.11202559	0.11018555	0.1111945	0.111555636	0.11043529	0.11209098	0.11103174
</S>	0.12709765	0.124533616	0.12169661	0.12210372	0.12424203	0.12440802	0.12579626	0.13012211
