 	stavo	al	telefono	e	mia	sorella	non	la	è	sta	e	dorme	</S>
a23	0.8511408	0.070531204	0.0022012338	0.015077803	0.0025230194	0.0033045502	0.0014549155	0.000340027	0.0005607637	0.0018451165	0.00975954	0.024493165	0.016767845
a31	0.89508617	0.010211287	4.772381e-05	0.014504081	0.009252205	1.6036076e-05	0.006410991	2.2633187e-06	1.8296001e-05	0.0012633443	0.001173154	0.0022278205	0.059786674
a7	0.88679135	0.0015543328	0.0039801467	0.0052318843	0.001248786	0.00035960184	0.0028488317	8.011021e-06	0.00013911605	0.08542446	0.0035691382	0.0012598528	0.007584383
a20	0.9618127	0.0008841636	0.00017835412	0.015605747	0.0006963315	4.535127e-06	0.00076769205	2.2329928e-06	3.134128e-06	0.0004939494	0.0001293626	0.00041947793	0.019002372
a17	0.75251645	0.0040296474	0.00026235473	0.045334533	0.023027364	6.673707e-05	0.0051759365	4.6329635e-05	6.1349696e-05	0.0014948637	0.002037878	0.0051115584	0.16083504
a39	0.612817	0.003063284	0.000110586276	0.021942398	0.06618695	0.0030982436	0.021843527	0.0008427857	0.00288196	0.013643256	0.039568268	0.06308812	0.15091364
a31	0.14160338	0.008775299	0.00020063177	0.0019861541	0.06388097	0.009651485	0.069975965	0.0016763068	0.018534783	0.12526578	0.18886647	0.1594756	0.21010715
a13	0.40825376	0.35467198	3.2796288e-05	0.032696247	0.013737523	7.403681e-05	0.007901068	0.00014776223	0.00020740111	0.0077209114	0.029679814	0.104415074	0.040461704
a17	0.0974496	0.045355026	0.00032517398	0.0045548063	0.007784471	0.002251797	0.048456103	0.0036593173	0.0035694398	0.51310307	0.058384035	0.025558617	0.18954855
a3	0.057601023	0.033145692	0.0006745541	0.0017566556	0.011319868	0.0012066998	0.02161893	0.001980036	0.0020677706	0.48720014	0.09666653	0.050862063	0.23390011
a18	0.11504966	0.25709575	0.0016732394	0.010012303	0.009293165	0.007636363	0.06437951	0.094040416	0.020105058	0.30455905	0.04418225	0.042425193	0.029547928
a31	0.10113674	0.062983155	0.0020194068	0.003802056	0.0014045021	0.0018279174	0.010616353	0.0076286667	0.0031884583	0.72164595	0.035893977	0.016010612	0.03184218
a37	0.7368845	0.05090907	0.0017940255	0.0025042386	0.00537956	0.0024292662	0.01098276	0.036872026	0.006100248	0.0877254	0.02323902	0.020867193	0.014312806
a41	0.12684926	0.10030106	0.004128233	0.013335178	0.0064567165	0.00904445	0.028875189	0.109430805	0.02296364	0.4331541	0.07237986	0.05001343	0.023068031
a35	0.13783787	0.20537038	0.006100867	0.017522981	0.012932595	0.01027711	0.024058994	0.074284665	0.022348588	0.37842044	0.060025174	0.025226692	0.025593624
a31	0.16826102	0.09157044	0.008330665	0.028043984	0.017469125	0.021388317	0.04172051	0.15511371	0.030493293	0.2825953	0.08413368	0.049635798	0.021244144
a24	0.85350645	0.022144543	0.0030727754	0.0043103583	0.0070468257	0.0053769895	0.011518277	0.015539082	0.004368977	0.04868579	0.010122319	0.008044182	0.006263442
a37	0.17975962	0.0970826	0.0099086305	0.03454701	0.037524175	0.03750872	0.05661903	0.1723089	0.042609848	0.16229928	0.09637121	0.04416009	0.029300937
a29	0.27738357	0.11275557	0.014932607	0.050563112	0.049559604	0.0470524	0.059863128	0.07801744	0.04348864	0.108776934	0.07951524	0.03848385	0.039607886
a24	0.25935218	0.10578299	0.016531106	0.051986318	0.06608994	0.060804486	0.07776834	0.098007716	0.04932736	0.046704344	0.08375341	0.040970095	0.04292172
a46	0.33277616	0.12433418	0.019667422	0.06692119	0.0579327	0.055011135	0.06918352	0.05771785	0.04275586	0.038837984	0.048007563	0.04055068	0.046303708
a31	0.15218712	0.11096002	0.026640872	0.08297011	0.08024625	0.077424176	0.090259776	0.08177592	0.06289896	0.04438589	0.064906485	0.06052327	0.064821124
a20	0.4965144	0.0507995	0.037667334	0.03908201	0.04160163	0.039963968	0.04861822	0.04504992	0.038190003	0.043590654	0.03945305	0.04013148	0.03933778
a31	0.087826945	0.09374396	0.027490662	0.061573956	0.10583449	0.09188871	0.13661301	0.14638695	0.05453174	0.034882274	0.056875177	0.052157663	0.050194465
a0	0.31557173	0.06258271	0.053181782	0.053906467	0.0543419	0.05374528	0.0560422	0.055457685	0.05329866	0.07905524	0.054218907	0.054583732	0.05401371
a31	0.07079656	0.078205176	0.040793613	0.05596635	0.096474394	0.079404615	0.15655488	0.15722698	0.05397858	0.045704897	0.06059097	0.05379327	0.05050972
a46	0.20438819	0.06786485	0.061915644	0.06240435	0.06252122	0.062160347	0.06324481	0.06352057	0.062005106	0.10140902	0.06291935	0.06311816	0.06252838
a33	0.06969512	0.07341445	0.054620918	0.06206621	0.08518923	0.07505315	0.13723555	0.13242142	0.061931636	0.058038183	0.06658986	0.06427747	0.059466787
</S>	0.072099425	0.07487608	0.055101488	0.06322335	0.08876843	0.07667423	0.14133948	0.11942159	0.060963757	0.06659972	0.06048414	0.060353458	0.06009489
