 	tu	quante	bottiglie	hai	rotto	dieci	</S>
a21	0.9878543	0.0012234296	0.00013291826	0.0033742622	0.001554367	0.0010827724	0.0047778804
a20	0.99985456	9.2766115e-08	4.3529497e-05	8.952933e-05	1.06089644e-07	2.5790628e-06	9.5094065e-06
a35	0.9986732	2.2255819e-07	9.1713686e-05	0.00073528447	2.5539587e-06	0.000100317375	0.00039683483
a20	0.9834869	1.5008399e-06	0.0011043133	0.0041098557	0.00019887186	0.0034784188	0.007620231
a38	0.88449705	1.4454833e-05	0.0034960087	0.06066095	0.003086381	0.022036828	0.026208444
a31	0.29930153	0.00020478587	0.00328277	0.56206346	0.03817521	0.061849773	0.035122465
a18	0.89779407	1.0862991e-05	0.037663497	0.05700539	0.005179583	0.0014527531	0.000893902
a23	0.7499934	0.0016047084	0.0032601957	0.08598425	0.060929067	0.059045017	0.039183304
a24	0.43829063	0.008953073	0.009893623	0.36768892	0.07727507	0.07496702	0.022931695
a37	0.7548527	0.005413918	0.012155809	0.021863915	0.09174168	0.08422673	0.029745275
a20	0.710913	0.019682756	0.052434314	0.04767492	0.08665956	0.0556571	0.02697821
a31	0.49250516	0.023125282	0.09319897	0.03785801	0.20559983	0.07714833	0.07056436
a20	0.114897065	0.010863508	0.079128094	0.53392494	0.17175639	0.048831947	0.04059809
a33	0.19025744	0.021185791	0.091571994	0.025182612	0.21615238	0.14256476	0.313085
a31	0.10413247	0.03825803	0.18148232	0.035639193	0.1848818	0.13651167	0.3190945
a20	0.101116486	0.038392816	0.1721661	0.36527178	0.18124217	0.08320884	0.05860182
a31	0.08002707	0.059294607	0.24538569	0.06039378	0.1738171	0.13061127	0.25047046
a20	0.18228355	0.08697054	0.13680533	0.21697304	0.15995416	0.1161311	0.10088221
a31	0.10718879	0.0958546	0.23485444	0.096906476	0.16176337	0.13714729	0.16628504
</S>	0.20580547	0.10880928	0.118726835	0.17552681	0.14880438	0.12561958	0.116707705
