 	ora	che	loro	non	vengono	più	</S>
a39	0.72253245	0.14550576	0.00018538522	0.008849875	0.004172944	0.07865918	0.04009449
a20	0.94033307	0.05424219	2.522243e-07	0.00055303716	3.3842494e-07	0.0013319713	0.0035391354
a13	0.97538686	0.019901307	1.4742311e-07	0.0010953017	1.4226985e-06	0.0019190228	0.0016960377
a17	0.87253225	0.11712044	1.4298762e-07	0.0013964269	1.3383483e-05	0.0010505107	0.007886901
a39	0.8077249	0.15455842	4.9864116e-06	0.0048094187	0.00023680068	0.016890345	0.015775176
a8	0.5717899	0.13083178	0.00023799257	0.0092357	0.0029461333	0.17952456	0.105433926
a31	0.44913334	0.13317685	0.0012818194	0.015084386	0.010047486	0.23537561	0.15590052
a15	0.337304	0.5394247	0.00050249445	0.033978146	0.016956238	0.02110383	0.05073062
a38	0.4393826	0.49599245	0.005250322	0.0039547924	0.010494683	0.014821373	0.030103652
a31	0.28325376	0.66898143	0.007852912	0.0037821103	0.013242624	0.008901588	0.0139856115
a13	0.8934713	0.04408809	0.0022578363	0.006313144	0.0059349164	0.041921847	0.006012852
a20	0.35359937	0.57582456	0.02046405	0.007336817	0.01703871	0.010417582	0.015318915
a7	0.500111	0.436138	0.011943238	0.0062474418	0.0112370225	0.011846769	0.0224765
a11	0.34618798	0.53528625	0.04024775	0.013290512	0.023813685	0.013939341	0.027234493
a24	0.5328006	0.37775382	0.017201915	0.010896957	0.015196224	0.015484537	0.030665966
a15	0.614154	0.30603778	0.008705236	0.009207233	0.0138771655	0.016796626	0.031222017
a24	0.40807894	0.3246088	0.02935628	0.031329986	0.038654692	0.047558058	0.1204132
a31	0.37850708	0.3190001	0.04339545	0.044438355	0.04716564	0.050844565	0.11664883
a0	0.897624	0.02185865	0.012735089	0.014595868	0.014340967	0.024273481	0.014571917
a18	0.2791611	0.36679637	0.06453344	0.056729835	0.06075958	0.061836828	0.11018288
a31	0.19493118	0.29759645	0.09839292	0.098382406	0.099675104	0.10066075	0.11036122
a38	0.58113927	0.07112215	0.065849535	0.06806265	0.06775077	0.07809585	0.06797988
a31	0.16559686	0.26023933	0.113475665	0.112342045	0.113741115	0.11429741	0.12030768
a20	0.35412067	0.10832047	0.10539971	0.106694214	0.10648116	0.1123786	0.10660512
a31	0.1498355	0.18722384	0.1330993	0.1313566	0.13222052	0.13231842	0.13394582
a35	0.2810245	0.1203206	0.118407995	0.1192061	0.11905522	0.12285342	0.11913223
a31	0.14671658	0.16415033	0.13765223	0.13717183	0.13783903	0.13804768	0.13842234
a18	0.26228198	0.12379214	0.12198896	0.122499354	0.12238469	0.12459302	0.12245987
a31	0.14464784	0.15058248	0.14080098	0.14061795	0.14106873	0.14121355	0.14106846
a46	0.21044129	0.13514097	0.13055536	0.13079089	0.13071258	0.1315585	0.13080037
a39	0.14383054	0.14602923	0.14202586	0.14181201	0.14212124	0.14219663	0.14198442
a31	0.14541543	0.14431627	0.14227898	0.14187467	0.14207993	0.14208536	0.14194937
</S>	0.18733862	0.1363301	0.13505596	0.13522762	0.13515542	0.13571961	0.1351727
