 	l	ho	sentito	quando	veniva	</S>
a31	0.15093173	0.007207977	0.41047847	0.0032282951	0.42734817	0.0008053523
a46	0.017939266	0.013790716	0.8651287	0.00039231655	0.09840749	0.0043415152
a41	0.004434911	0.0025137418	0.6891986	2.3605275e-05	0.28770584	0.016123248
a31	0.00039050812	0.009077452	0.052435793	0.00012803884	0.029858401	0.9081098
a24	0.019105708	0.020030862	0.061163224	0.0002609887	0.16140464	0.73803467
a31	0.060189262	0.052385576	0.08367616	0.03637381	0.05964835	0.7077269
a15	0.4624373	0.1080146	0.09554243	0.012103101	0.07639714	0.2455054
a46	0.12749088	0.11910006	0.130124	0.097428635	0.114967264	0.41088912
a31	0.17147155	0.25729296	0.060069803	0.19445547	0.120250165	0.19646004
a0	0.17836256	0.12283407	0.24168798	0.18510054	0.13118511	0.14082968
a41	0.10895122	0.16935506	0.4316228	0.07971924	0.092196435	0.118155174
</S>	0.14413825	0.17593183	0.26491722	0.15385579	0.13793622	0.12322074
