 	che	vende	buon	pane	</S>
a17	0.4883892	0.16950674	0.045798585	0.16251571	0.13378967
a31	0.6017801	0.00027965536	0.041476242	0.27481973	0.08164419
a11	0.8806799	0.069822185	0.03132556	0.011036417	0.0071358536
a39	0.3197579	0.014996677	0.030603388	0.20022388	0.43441817
a35	0.02980375	0.00036529795	0.0034720865	0.11530761	0.8510513
a39	0.0159743	0.0033053732	0.04812224	0.4996275	0.4329705
a31	0.03433373	0.028609805	0.23356979	0.43431652	0.26917017
a24	0.10918832	0.028108763	0.08624831	0.34463447	0.43182018
a18	0.07335479	0.122950226	0.5761872	0.16733402	0.060173817
a31	0.12774797	0.18433431	0.40491813	0.16735178	0.115647785
a13	0.20504044	0.17372073	0.19671701	0.20925486	0.21526696
a31	0.16912198	0.19205892	0.27812007	0.19361141	0.16708757
a46	0.20329063	0.18994871	0.19773026	0.20285875	0.20617165
a8	0.18297121	0.20243838	0.24324736	0.18718347	0.18415955
</S>	0.19567823	0.20141932	0.21034774	0.19606714	0.19648756
