 	non	ti	dimentichiamo	mai	</S>
a8	0.19660479	0.3155783	0.026172828	0.046294484	0.4153495
a31	0.03768138	0.41039753	0.04196682	0.0046206345	0.50533366
a20	0.72819364	0.21076237	0.0145108225	0.0028383038	0.04369476
a31	0.82061636	0.08238831	0.049100645	0.0012138783	0.04668074
a13	0.34625837	0.57139605	0.04311086	0.0004085979	0.038826093
a31	0.20522085	0.20288156	0.0040402673	0.0021925801	0.5856647
a13	0.25962648	0.7226818	0.005020591	0.0057861097	0.0068849795
a1	0.021773761	0.9062677	0.010891342	0.00251928	0.05854779
a31	0.1586772	0.3082572	0.16905846	0.0518199	0.31218722
a41	0.082145445	0.19942896	0.18340047	0.107411414	0.42761368
a15	0.24597141	0.5722335	0.12058642	0.015659299	0.045549456
a13	0.11752787	0.68628794	0.13774014	0.022558616	0.03588543
a31	0.13314149	0.32521	0.27387464	0.1523502	0.11542364
a11	0.060763847	0.07134703	0.5497669	0.20301203	0.11511021
a31	0.0860663	0.15713596	0.46499854	0.21477571	0.07702347
a46	0.07145974	0.06521616	0.7133722	0.07736609	0.072585896
a31	0.10829936	0.111162566	0.552592	0.12713653	0.10080949
a46	0.14010276	0.12328584	0.48339993	0.12610193	0.12710962
a31	0.14610493	0.14336266	0.42248973	0.14579287	0.1422497
</S>	0.21841158	0.17840044	0.24857849	0.17525344	0.17935608
