 	la	donna	è	capace	pulire	deve	pulire	la	casa	ogni	giorno	</S>
a31	0.80951285	0.019018102	0.0030329153	0.033675287	0.011852181	0.020758618	0.0035614066	0.0021603166	0.008391448	0.015789643	0.037367687	0.034879442
a24	0.009870284	0.0009456585	0.0011150329	0.06365134	0.06346364	0.13432315	0.24567707	0.0050614933	0.040296137	0.14830363	0.08021653	0.207076
a31	0.0018024564	4.88825e-06	3.6498648e-05	0.09088569	0.3499963	0.063756995	0.09809499	3.4629895e-05	0.00031147027	0.010699962	0.032181323	0.3521948
a8	0.0032552613	0.0012300538	0.0006628537	0.017594703	0.058150217	0.20083834	0.053302005	0.00078826403	0.022272559	0.3245208	0.16637996	0.15100496
a20	0.0001315331	2.981344e-06	5.0631247e-06	0.95987874	0.014691936	0.0031455115	0.004985787	0.00035023733	0.0012552101	0.0060131866	0.0054744342	0.004065423
a31	0.00023579695	4.2718266e-06	1.01179e-05	0.6266661	0.022396054	0.00579967	0.15414801	8.060238e-05	0.003311035	0.029530585	0.060201872	0.09761585
a8	0.0001467693	2.3081828e-05	9.640671e-05	0.1338815	0.44366187	0.15438701	0.22167233	4.4441433e-05	0.00095889514	0.00694512	0.010988174	0.02719428
a31	0.0007843902	4.022396e-05	6.7640685e-05	0.04400131	0.0058494722	0.014488507	0.020070575	0.008715913	0.15258008	0.27381566	0.22148567	0.25810054
a20	2.8237495e-05	1.1999412e-05	1.6319464e-05	0.8054493	0.07400578	0.022568023	0.08025422	0.00028895785	0.004140072	0.0063341795	0.0038470952	0.0030557793
a31	0.00056519103	0.00025482834	0.00023575951	0.004439928	0.0071189245	0.010444749	0.047009062	0.00846789	0.16209367	0.1779093	0.27212504	0.30933565
a20	0.00087399065	3.8621343e-05	2.7702483e-05	0.83725935	0.028766537	0.011647464	0.015738202	0.00073607353	0.0067996746	0.02804755	0.048173226	0.021891607
a41	0.00073398306	0.00077261607	0.0007064465	0.00330985	0.024851045	0.03698581	0.27301306	0.019621147	0.14364815	0.10288239	0.21784067	0.17563485
a11	0.0010471132	0.0009818068	0.0006429813	0.0023841085	0.0017591992	0.00650252	0.041832373	0.004898231	0.09942036	0.14157568	0.42392236	0.2750333
a6	0.0036724254	0.0039470377	0.0035363813	0.0049332376	0.022419915	0.056643862	0.58838123	0.06009684	0.07400149	0.06820875	0.05879793	0.05536085
a31	0.04229412	0.048644222	0.03007133	0.018199047	0.016438175	0.021661714	0.39773372	0.068168536	0.14350663	0.082625166	0.07014113	0.060516313
a24	0.18378572	0.012152378	0.010365416	0.08329009	0.025946071	0.037134215	0.42810676	0.02083291	0.040184226	0.05559333	0.06365715	0.03895175
a31	0.011310804	0.010335323	0.009333946	0.011415399	0.039169565	0.047229405	0.49124795	0.14915411	0.13325408	0.037234973	0.025842732	0.03447162
a8	0.040064055	0.018147817	0.018004667	0.06811058	0.03212331	0.041066516	0.4987767	0.02824294	0.062737316	0.08930352	0.066226535	0.037196014
a31	0.026839199	0.025494734	0.022676522	0.022087516	0.11530243	0.09801	0.25805604	0.12377886	0.11491711	0.042490996	0.08716358	0.06318305
a20	0.35089183	0.045674555	0.04175932	0.09116326	0.049819183	0.054938518	0.10098458	0.044174913	0.049643323	0.055790156	0.060465347	0.054695114
a13	0.0385907	0.03838266	0.03811812	0.0389903	0.1188641	0.1326842	0.2963965	0.09152944	0.075105615	0.043809135	0.044276617	0.043252602
a28	0.061151564	0.061462846	0.061228476	0.06251081	0.10428037	0.11709695	0.193114	0.07758229	0.07261748	0.06396527	0.06252918	0.062460754
a29	0.058819745	0.05871931	0.058591772	0.05998135	0.10540356	0.11867058	0.20085038	0.080781184	0.07580704	0.06160448	0.060172364	0.060598284
a31	0.059306983	0.058980856	0.05890654	0.06184714	0.111629866	0.12544996	0.19158007	0.078979775	0.0715331	0.060871568	0.060025536	0.06088864
a37	0.08997304	0.06955217	0.06920428	0.0936416	0.07666369	0.07916381	0.14323619	0.07123062	0.07484294	0.081476025	0.07771443	0.073301196
a31	0.06683286	0.06645661	0.06659936	0.07331591	0.09188985	0.09813972	0.15765849	0.085800365	0.087147705	0.06947848	0.068723805	0.067956835
a28	0.089762345	0.07578901	0.07565123	0.090068646	0.07877399	0.079158805	0.11212517	0.076806515	0.079597875	0.08298177	0.08119955	0.07808512
a31	0.07242822	0.07176418	0.07220422	0.08725387	0.08240179	0.08260495	0.12321184	0.08939308	0.09541925	0.07529677	0.07504743	0.07297443
a24	0.09451416	0.07702127	0.07691807	0.09433802	0.07988578	0.079319	0.09849461	0.077944785	0.08005295	0.08121967	0.08145082	0.07884086
a31	0.07925606	0.07837275	0.07864198	0.08846915	0.0863303	0.08643822	0.097876936	0.08223833	0.08274339	0.079325326	0.081206776	0.0791008
a20	0.10644819	0.07779988	0.07731438	0.09718949	0.07932103	0.07940853	0.087674364	0.0774673	0.07850405	0.07957363	0.08037246	0.07892668
a31	0.08202792	0.08113089	0.08125106	0.086183034	0.08514194	0.08527667	0.08948927	0.082227014	0.08209664	0.081401214	0.08237206	0.0814023
a17	0.09845182	0.07914147	0.078793384	0.098281085	0.079968125	0.0801367	0.086633556	0.07866784	0.07933673	0.080451414	0.080537245	0.079600625
</S>	0.08252066	0.08199256	0.08209788	0.086204566	0.08437114	0.084192224	0.086523145	0.08247425	0.08243005	0.08214769	0.08292743	0.0821184
