 	mi	sono	vestito	</S>
a39	0.7986905	0.11460101	0.0586906	0.028017817
a11	0.9991578	7.862315e-07	0.000737704	0.00010364519
a13	0.9920318	1.2386172e-05	0.0073217484	0.000633938
a18	0.9215323	0.0005462978	0.011341236	0.06658015
a31	0.48490763	0.0060481336	0.32919595	0.17984822
a37	0.15582712	0.00974267	0.48191142	0.3525188
a15	0.7746131	0.048239566	0.09015913	0.086988285
a31	0.32029253	0.43336737	0.18452907	0.061811022
a46	0.498561	0.15155943	0.15999134	0.18988827
a31	0.22816409	0.42238188	0.1837453	0.16570869
a20	0.2951824	0.227808	0.2363895	0.24062006
a31	0.24701995	0.28615874	0.23659405	0.23022726
</S>	0.27049413	0.23960155	0.24473397	0.24517034
