 	lo	posso	finire	di	scrivere	</S>
a20	0.801861	0.097873814	0.009276423	0.0070856833	0.072683446	0.011219592
a31	0.9989906	8.832583e-06	5.6580007e-09	1.6081234e-08	0.0009827502	1.790012e-05
a39	0.98533535	0.0021344272	7.24835e-06	4.3239793e-06	0.012485835	3.2724834e-05
a24	0.71124184	0.0009873648	7.9821686e-05	0.00045954206	0.27107784	0.016153753
a18	0.84176	7.459222e-05	2.2650107e-05	0.00011091041	0.1261057	0.031926166
a24	0.84374917	0.0030722525	0.005366403	0.009161073	0.037311092	0.10134007
a31	0.36452666	0.055556938	0.22603	0.21844698	0.05129384	0.0841456
a20	0.6134295	0.031419825	0.04138322	0.054301534	0.18161532	0.077850595
a31	0.07969279	0.09156694	0.4174194	0.28041804	0.064665824	0.066236965
a1	0.28936306	0.13207185	0.13617696	0.14112331	0.16144633	0.13981852
a31	0.12736018	0.13999924	0.28328943	0.21167842	0.122107886	0.11556489
</S>	0.25885937	0.14558826	0.14640026	0.14691383	0.1545938	0.14764448
