 	ancora	non	mi	sono	vestito	</S>
a8	0.12579456	0.23763855	0.24254334	0.018250665	0.22489083	0.15088208
a31	0.6478747	0.025748702	0.1936444	0.0001413451	0.11750351	0.015087309
a10	0.9047708	0.08360236	0.004406726	2.245851e-05	0.0051380694	0.0020595589
a31	0.49174538	0.4307464	0.015050217	0.000483628	0.02387478	0.038099613
a18	0.27639624	0.5442679	0.17434728	2.6207515e-05	0.0034291453	0.0015332145
a31	0.3357168	0.043303702	0.17062648	0.0037969714	0.30346212	0.1430939
a20	0.89711094	0.049757265	0.024918035	0.0007978487	0.004575889	0.022839988
a31	0.10868545	0.092035934	0.54730827	0.19296095	0.030322226	0.028687103
a13	0.7183659	0.08180616	0.033333838	0.013405657	0.096057735	0.05703066
a35	0.14954072	0.1624891	0.31313783	0.26432145	0.05115599	0.059354898
a39	0.13065174	0.113366164	0.34748286	0.18709362	0.075582415	0.14582318
a46	0.09969667	0.11103189	0.38597402	0.20173153	0.097267844	0.10429804
a31	0.14853708	0.14397037	0.22823009	0.1574593	0.15716107	0.16464214
a20	0.1829867	0.13892195	0.19577837	0.14666423	0.1836027	0.15204602
a31	0.1639805	0.16090885	0.18695718	0.16362277	0.16178161	0.16274908
a39	0.1826843	0.1612294	0.16452166	0.15965098	0.16886774	0.16304593
a31	0.16609792	0.16437745	0.17515118	0.16511242	0.16456002	0.16470101
</S>	0.18765974	0.16197442	0.16164696	0.15954508	0.16656362	0.16261023
