 	sto	ancora	cucinando	</S>
a20	0.28978708	0.090067014	0.6006613	0.019484712
a31	0.18884054	0.00039950458	0.8079013	0.0028586492
a37	0.8250891	0.06374599	0.11044719	0.0007176819
a20	0.884873	0.0027128584	0.11175345	0.0006607295
a31	0.3869427	0.009378291	0.53969234	0.0639866
a30	0.9622477	0.019795269	0.015954878	0.0020021433
a46	0.8211203	0.0724184	0.031203847	0.07525741
a31	0.78124255	0.06682643	0.08750757	0.06442351
a39	0.46521232	0.02900028	0.42784107	0.07794641
a15	0.82298356	0.0530575	0.037790615	0.08616831
a20	0.86899495	0.08074268	0.027784165	0.022478212
a22	0.4536517	0.08745729	0.17400922	0.2848817
a31	0.31349766	0.118811816	0.18974634	0.37794414
a46	0.27204013	0.21566741	0.31883672	0.19345582
</S>	0.24396876	0.17414854	0.20750232	0.37438038
