 	prima	di	andare	alla	scuola	</S>
a7	0.8441196	0.04250063	0.02457825	0.018732307	0.020215975	0.049853258
a11	0.99938667	3.7538306e-05	0.00045227038	0.000100599034	4.0606548e-07	2.2650189e-05
a43	0.9931593	0.00019475567	0.0022733975	0.0015559496	7.560101e-06	0.002809063
a20	0.94324267	0.0012081475	0.046026915	0.0065294774	0.0004149262	0.0025778655
a31	0.55399597	0.005863094	0.13745841	0.18592624	0.07875616	0.03800011
a20	0.17600405	0.010611558	0.19871348	0.33562607	0.16867329	0.110371634
a31	0.1844615	0.12367306	0.17291972	0.33514237	0.1450337	0.038769655
a20	0.056865387	0.062142372	0.13343634	0.30831093	0.36071062	0.07853434
a31	0.120629214	0.24588698	0.31342354	0.12320306	0.12520483	0.07165238
a20	0.109484345	0.12404734	0.1775094	0.21468155	0.25497904	0.11929835
a31	0.1471924	0.1819526	0.21926752	0.13926303	0.19408989	0.11823453
</S>	0.15115604	0.12873523	0.14443947	0.19484115	0.23393427	0.14689383
