 	e	che	cucino	</S>
a31	0.39282796	0.11368257	0.43829936	0.055190198
a24	0.82600546	0.17040774	0.003531001	5.58544e-05
a31	0.9810528	0.013944516	0.004561162	0.000441527
a11	0.5494924	0.08795496	0.20723678	0.15531586
a46	0.02602763	0.033754285	0.062371336	0.8778468
a41	0.14195156	0.19630216	0.57524115	0.08650505
a20	0.052043457	0.16400652	0.66270345	0.121246554
a36	0.086935125	0.16592404	0.59880465	0.14833616
a31	0.17094919	0.19336899	0.44968382	0.18599802
a46	0.27274868	0.23817848	0.24389973	0.24517305
</S>	0.27370474	0.23261118	0.258654	0.23503014
