 	possono	essere	ancora	svegli	</S>
a31	0.07912694	0.13138181	0.09814355	0.50341326	0.18793444
a20	0.554613	0.0007026822	0.38297257	0.058526676	0.0031850855
a23	0.9821823	2.5589068e-06	0.007953617	0.0034331274	0.0064282864
a31	0.8902652	9.235278e-06	0.029706413	0.0042480077	0.07577117
a20	0.9990257	4.8962434e-06	0.0009145774	4.882048e-05	5.975102e-06
a11	0.96459013	0.0003848438	0.013245177	0.0056278957	0.016151994
a20	0.9282945	0.00082319573	0.010730873	0.010519325	0.049632207
a31	0.94087327	0.015965067	0.021146484	0.0092459	0.012769287
a37	0.69889516	0.0139725385	0.12952794	0.08306755	0.07453687
a31	0.3284022	0.21458906	0.32585403	0.07738501	0.05376973
a11	0.3192662	0.07186679	0.19139454	0.1410114	0.27646106
a46	0.19316018	0.18682453	0.40053388	0.11967995	0.09980141
a31	0.2090333	0.14486413	0.36608478	0.1398328	0.14018503
a46	0.19646229	0.17384857	0.19848715	0.18742058	0.24378136
a31	0.20354287	0.16947062	0.29311627	0.16666129	0.16720895
a20	0.20880266	0.19481191	0.19612275	0.194647	0.20561565
a28	0.20274012	0.19583869	0.21273583	0.19445258	0.19423278
</S>	0.19531167	0.19513367	0.2200535	0.19425505	0.1952461
