 	da	da	un	famoso	poeta	</S>
a31	0.42402223	0.013310556	0.014454482	0.0105980635	0.42006734	0.11754734
a37	0.0014562253	0.0008677285	0.88541746	0.009377665	0.019729564	0.0831512
a31	0.000245981	2.0716839e-06	0.7598092	0.0015731792	0.020238986	0.21813054
a28	0.00097023824	0.000577673	0.8480558	0.0127004655	0.01404119	0.12365466
a31	0.00029362086	0.000100673926	0.833509	0.009750233	0.08120036	0.075146236
a20	2.3183022e-05	5.1868506e-06	0.9526738	0.00029940595	0.0010901608	0.045908276
a13	0.0010386773	0.003195046	0.1003188	0.044852935	0.0460644	0.80453014
a39	0.002460457	0.004795239	0.025574667	0.046540365	0.052789725	0.8678395
a31	0.030233651	0.2794856	0.051428292	0.09330489	0.12365558	0.42189196
a35	0.1715442	0.06253579	0.13167408	0.0573644	0.25779945	0.31908205
a31	0.07933394	0.13666585	0.111058965	0.20067994	0.23612028	0.23614101
a17	0.20808688	0.12382636	0.15908751	0.13567513	0.17448398	0.19884023
a31	0.1356988	0.14695475	0.15589964	0.19406058	0.1911861	0.17620012
</S>	0.19458874	0.15220922	0.16356474	0.15771838	0.16408594	0.16783302
