 	sono	stato	sempre	poveretti	</S>
a20	0.0007269776	1.2271789e-05	0.006948744	0.952949	0.039362997
a4	0.0030750844	0.0019987565	0.17886539	0.1988325	0.6172283
a31	2.6049931e-06	0.00012378243	0.5616908	0.39440888	0.04377392
a38	1.484809e-06	0.00017894167	0.016024176	0.98029053	0.003504848
a31	2.9152077e-05	0.0077636414	0.82416624	0.013336546	0.15470447
a7	1.6454609e-05	0.0030215648	0.70273966	0.14307198	0.15115035
a31	0.00426819	0.07386106	0.3565679	0.1203617	0.4449412
a21	0.0002397669	0.005411866	0.37641966	0.5096121	0.10831663
a20	0.009446051	0.021442588	0.03229294	0.65098643	0.28583193
a8	0.009885877	0.028951267	0.28529736	0.12604158	0.5498239
a31	0.113736704	0.0433088	0.041847624	0.5422681	0.2588387
a33	0.039517827	0.006786853	0.09107508	0.69666487	0.16595536
a20	0.09149903	0.084883675	0.06510219	0.4993103	0.25920483
a31	0.14642105	0.22762945	0.0533167	0.32500982	0.24762303
a7	0.6062692	0.12867288	0.071793124	0.101075515	0.0921893
a31	0.11331568	0.4021215	0.070487045	0.19010642	0.22396934
a11	0.16203412	0.3600793	0.120569594	0.2063223	0.15099469
a31	0.09973851	0.51627254	0.08699447	0.16354485	0.1334496
a13	0.17891437	0.33985087	0.1480344	0.18244906	0.15075126
a18	0.10566359	0.52733636	0.10340191	0.1478584	0.11573972
a31	0.16287097	0.3334624	0.15978353	0.17354926	0.17033379
</S>	0.30426183	0.18322676	0.16830839	0.17638502	0.16781794
