 	essendosi	vestito	</S>
a46	0.96574646	0.031355903	0.0028975902
a31	0.6432787	0.32073438	0.03598684
a18	0.39423123	0.5745228	0.03124602
a31	0.8994228	0.08895005	0.011627113
a20	0.98972344	0.00999753	0.00027907445
a46	0.5140254	0.20125552	0.28471905
a20	0.94353515	0.02828394	0.028180873
a31	0.82294494	0.102588564	0.07446648
a0	0.2010656	0.44621885	0.35271558
a46	0.8240619	0.091275856	0.084662266
a35	0.7733789	0.10576801	0.12085307
a46	0.4931374	0.18016441	0.32669827
a24	0.37632653	0.21662614	0.4070473
a46	0.37073302	0.25127384	0.37799317
a24	0.35061973	0.28998342	0.35939685
a31	0.3551567	0.28558445	0.3592589
</S>	0.34146532	0.32628995	0.33224475
