 	i	bambini	piccoli	non	si	vestono	da	soli	</S>
a8	0.49321213	0.030064678	0.0032895484	0.009189623	0.022596613	0.09026611	0.027025677	0.29387692	0.030478658
a13	0.9484676	8.913533e-06	0.0037773766	0.00015031036	0.0015413151	0.0006684181	5.3411826e-05	0.03007468	0.015257943
a0	0.4218522	1.228482e-05	0.0018904218	0.00091621245	0.0060524256	0.0015447754	0.0003427834	0.37207654	0.19531228
a31	0.57579243	5.232247e-06	0.009790874	0.0015254746	0.007971331	0.0011798431	0.00027547838	0.112368174	0.29109114
a18	0.340461	0.00071020814	0.005592104	0.0007753587	0.11983355	0.02176748	0.0018695118	0.26987162	0.23911917
a31	0.6677449	1.4574619e-05	0.021331755	0.000731924	0.0070196893	0.016167944	0.0016313945	0.12945865	0.15589908
a28	0.601405	9.3774106e-05	0.017106492	0.0070265923	0.101527475	0.0036300318	0.00043670333	0.090346485	0.17842738
a20	0.07348149	0.00016788195	0.00021110922	0.0002986416	0.041531812	0.080661	0.002277524	0.51848495	0.2828856
a31	0.15027004	0.00013025152	0.00022274662	0.0007912002	0.025094787	0.06634714	0.004854391	0.4736972	0.2785923
a7	0.75403523	0.0023155422	0.006701573	0.0012840185	0.01500432	0.063126706	0.0038662453	0.088333845	0.06533262
a38	0.0137594035	0.00019057785	0.00010566465	0.00021527443	0.0082882345	0.007263126	0.0020364607	0.56431556	0.4038258
a24	0.021799441	0.00025208262	0.0001201229	0.00015673735	0.017681122	0.01438521	0.0011643383	0.29094708	0.6534939
a46	0.06785013	0.0050380956	0.0027346495	0.010006692	0.049244706	0.062650174	0.056970675	0.49987987	0.24562502
a31	0.08674645	0.0044836537	0.003677806	0.0034554338	0.017906947	0.029844696	0.021950055	0.39591172	0.4360232
a38	0.23490307	0.022921035	0.031434447	0.033147734	0.042630374	0.077094615	0.10243146	0.3219581	0.13347916
a31	0.086855166	0.012144248	0.014927342	0.044712357	0.071325965	0.098463155	0.12164678	0.34075648	0.20916857
a13	0.30980578	0.028360577	0.031523522	0.034159314	0.04588632	0.052581232	0.052497856	0.35864553	0.086539805
a31	0.041088294	0.026493656	0.026923448	0.124053776	0.12375223	0.17694663	0.28273728	0.098858654	0.09914606
a8	0.18702339	0.05512691	0.060190197	0.054833077	0.066919945	0.060653713	0.058943097	0.3739364	0.08237325
a20	0.049637463	0.030559003	0.03153651	0.1733377	0.14520442	0.2005746	0.18501815	0.1225153	0.061616782
a31	0.093295	0.089011	0.08858943	0.14480825	0.112918615	0.14699076	0.13572685	0.096818835	0.09184124
a15	0.47491345	0.07674362	0.06418434	0.06429842	0.063675985	0.06403528	0.062838905	0.066679314	0.0626307
a31	0.087261446	0.08481578	0.08483536	0.15229802	0.113987	0.15442368	0.14219666	0.09181676	0.08836536
a20	0.26085123	0.09693624	0.09299394	0.09012353	0.09032935	0.090071976	0.089365914	0.09894811	0.09037967
a39	0.098105475	0.09656423	0.096579514	0.13347752	0.11198977	0.1347437	0.12808259	0.101315096	0.09914214
a31	0.108113505	0.105694905	0.10542451	0.11838104	0.1109953	0.11897228	0.1162123	0.10957168	0.10663447
a8	0.22010961	0.101834305	0.097413875	0.09675135	0.09644991	0.09649223	0.09598304	0.099076726	0.09588899
a31	0.09548762	0.09313663	0.0928872	0.13944659	0.1126197	0.14101554	0.13150965	0.09840736	0.09548963
a37	0.22937478	0.101011224	0.09796882	0.09515443	0.09520798	0.09474188	0.09433185	0.0973608	0.0948482
a20	0.1053141	0.10445987	0.10441405	0.121469446	0.11144622	0.12204491	0.11883997	0.106380664	0.10563075
a8	0.10926214	0.10783668	0.10770677	0.114640795	0.11079347	0.114974074	0.11348903	0.11273888	0.10855815
a20	0.095483996	0.09387967	0.093795545	0.13876368	0.11270697	0.13984455	0.13079673	0.099177115	0.095551774
a31	0.10978482	0.109121576	0.10907767	0.11393562	0.11110605	0.11412615	0.113119066	0.11026624	0.10946283
</S>	0.19883071	0.104334496	0.099957384	0.09984382	0.09964064	0.09944432	0.09916457	0.09980898	0.09897504
