 	dove	aveva	per	stare	non	aveva	</S>
a24	0.8911619	0.0005952952	0.00029453685	0.0076929484	0.013783367	0.012806165	0.07366565
a20	0.98743176	8.501062e-05	0.008339253	0.003866259	4.693452e-05	1.3021523e-06	0.00022949192
a13	0.9394985	0.0007701429	0.0063474323	0.044024736	0.00048159758	2.7413753e-05	0.008850172
a37	0.7858906	0.0010626827	0.013911663	0.061458863	0.018248409	0.0038085962	0.11561919
a24	0.6095833	0.0016504545	0.015228117	0.03674259	0.106620185	0.030543158	0.19963218
a31	0.13142131	0.0037312498	0.00506814	0.020409942	0.5845216	0.16233143	0.09251637
a20	0.47956595	0.0017538255	0.020745767	0.0020148633	0.26542482	0.1436207	0.08687408
a0	0.56975186	0.021117613	0.021198163	0.01060755	0.11400255	0.15552016	0.10780212
a20	0.6015474	0.08003584	0.06599687	0.009944824	0.11773386	0.07947194	0.04526923
a31	0.6001047	0.012113583	0.05198039	0.0034812007	0.093730554	0.15772694	0.08086261
a8	0.19886672	0.014413636	0.051166516	0.014908833	0.38822535	0.23901862	0.09340041
a23	0.6554344	0.03286646	0.06197588	0.013741789	0.040198766	0.09806014	0.09772256
a38	0.35495493	0.060152583	0.091820456	0.051583197	0.06603043	0.11339438	0.26206404
a33	0.26244423	0.06836245	0.085291624	0.058555648	0.071174435	0.15186152	0.30231008
a31	0.19331309	0.07579669	0.08503266	0.07184367	0.08087992	0.14612843	0.34700552
a24	0.5516269	0.065817386	0.06705819	0.067425765	0.08976013	0.08555519	0.07275641
a18	0.13959186	0.085670315	0.0993075	0.08121304	0.08966518	0.13500808	0.369544
a31	0.21737611	0.10207898	0.10577974	0.09878297	0.10017431	0.11307759	0.2627303
a33	0.25041318	0.11831119	0.11901054	0.11910137	0.13377626	0.13186187	0.1275256
</S>	0.12014238	0.1043421	0.10814119	0.10053677	0.10494186	0.13120922	0.33068645
