 	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
a31	0.24133728	0.3347883	0.011415975	0.000815528	0.0036277657	0.019715931	0.1158214	0.118419304	0.10785924	0.046199307
a37	0.022634082	0.4288091	0.3918334	2.287518e-05	0.0030514076	0.0018510467	0.027419934	0.07576935	0.018171988	0.030436812
a31	0.089808136	0.116376966	0.16378237	1.5985024e-05	0.010347426	0.00044499626	0.00044648067	0.013187646	0.060084056	0.5455059
a20	0.029629368	0.90467423	0.01569111	9.240567e-06	0.0022761764	0.0003979101	0.005248523	0.014132185	0.002435025	0.025506133
a31	0.187632	0.09705151	0.39918804	0.00023495594	0.014398089	0.008450778	0.015875265	0.07276091	0.10798232	0.09642605
a13	0.011493158	0.91038877	0.053588297	2.5043676e-06	0.010077848	8.9259884e-05	0.00046789643	0.0015244143	0.00031503037	0.012052838
a31	0.12089336	0.09834196	0.11137304	0.00052211934	0.0014142359	0.006825197	0.03883386	0.1425959	0.036216233	0.44298407
a20	0.26983407	0.47534683	0.14125842	3.2551954e-05	0.010397699	0.003297373	0.0103833005	0.062311005	0.012748022	0.014390662
a17	0.2363802	0.25482857	0.057462633	0.003336265	0.00618971	0.014014435	0.087662846	0.17197402	0.04328466	0.124866664
a20	0.46427315	0.16125816	0.053948514	0.0029907965	0.0058372063	0.010342646	0.045269962	0.08781027	0.043302078	0.124967195
a31	0.15455148	0.08560806	0.055927776	0.019729268	0.022162	0.030220417	0.051071446	0.13808714	0.37649986	0.06614256
a20	0.8115863	0.033690266	0.010153424	0.0023964627	0.003082935	0.00528145	0.013359234	0.025055207	0.08309715	0.012297647
a31	0.11389012	0.10381371	0.11274633	0.0627808	0.063071735	0.06541082	0.08472397	0.105739765	0.20954391	0.07827889
a3	0.6050172	0.05506787	0.041375514	0.029759632	0.031492803	0.032772705	0.042226028	0.04412018	0.075970545	0.04219753
a8	0.11138032	0.10526005	0.110806085	0.09012665	0.090455405	0.09011667	0.09385319	0.09788866	0.11721505	0.09289788
</S>	0.113883026	0.07403149	0.066310026	0.056684233	0.055957414	0.061949138	0.05829281	0.10011398	0.32663167	0.086146265
