 	oggi	io	non	ho	cosa	da	fare	</S>
a46	0.87242883	0.02034768	0.0013305951	0.001975424	0.010863403	0.006865394	0.068883054	0.017305583
a27	0.9574829	0.039334744	0.0016387749	0.00023804182	0.00017699804	8.317147e-06	0.0004539675	0.00066620903
a8	0.98596185	0.005973475	0.001104918	0.00019282353	0.00038752862	1.1070817e-05	0.001936616	0.004431635
a28	0.74658513	0.15628166	0.01126709	0.0026329728	0.002818644	0.0036872108	0.029200578	0.047526695
a31	0.1540635	0.2658159	0.03535317	0.043159492	0.0077805347	0.0030050837	0.1617921	0.32903022
a24	0.098943084	0.14909258	0.012681379	0.0031426866	0.0055703036	0.00028733563	0.028778156	0.70150447
a31	0.007670687	0.014016165	0.009562106	0.12808411	0.06453852	0.0045618755	0.45440602	0.3171606
a10	0.1737715	0.31421512	0.015051977	0.0025674684	0.008229685	0.008453014	0.14975354	0.32795766
a20	0.029040383	0.060423907	0.019242631	0.08533831	0.063441336	0.0147156585	0.4266631	0.30113462
a31	0.08190156	0.10782011	0.02151103	0.046654265	0.08703372	0.03153163	0.2651177	0.35843
a39	0.62910086	0.13180736	0.0498008	0.029169915	0.020023065	0.025782213	0.057186376	0.057129465
a31	0.124832824	0.2685147	0.22160079	0.06108027	0.027727704	0.07452374	0.081751585	0.13996835
a18	0.48009968	0.2080963	0.07960165	0.040041648	0.038204875	0.048509575	0.04931091	0.056135412
a31	0.075635746	0.14874548	0.3014201	0.113841735	0.03622521	0.05730363	0.16884899	0.097979106
a17	0.4117679	0.13485335	0.080359824	0.07130929	0.07203202	0.071765564	0.0798486	0.07806351
a31	0.10968424	0.15242155	0.17331353	0.12113274	0.091131784	0.10088235	0.1369345	0.1144993
a8	0.41603407	0.14836669	0.07156381	0.07119934	0.07304198	0.07013883	0.07565915	0.073996074
</S>	0.11471508	0.1382003	0.14132713	0.1346227	0.102238916	0.10173549	0.15155624	0.115604214
