 	un	forno	che	fa	buon	pane	</S>
a31	0.3185225	0.106055826	0.079154015	0.066026755	0.064261235	0.21178025	0.15419939
a20	0.0033810313	0.865523	0.01943852	0.085764036	0.001555195	0.0037591115	0.020579098
a28	0.20158854	0.45464867	0.010469587	0.19656703	0.0016989108	0.027212765	0.10781449
a31	0.031889915	0.6426336	0.009547018	0.105020866	0.00039394468	0.024310682	0.18620402
a18	0.3023451	0.54447067	0.014922532	0.04306682	0.00048624814	0.024474945	0.07023378
a13	0.12539668	0.31598708	0.019135112	0.03708989	0.005502069	0.0765276	0.4203615
a39	0.012647118	0.17412774	0.009130983	0.028284485	0.006927782	0.08227052	0.68661135
a20	0.012673258	0.7975876	0.00529022	0.018279767	0.0080994135	0.03428993	0.123779885
a31	0.037439425	0.5154232	0.006280148	0.0460202	0.015321885	0.11874296	0.26077217
a20	0.022818472	0.6836239	0.0101642385	0.14609401	0.015300617	0.038212877	0.08378583
a39	0.036313936	0.40468127	0.02483282	0.06951385	0.026310857	0.1284081	0.30993918
a18	0.02560779	0.8148302	0.01628224	0.027759379	0.023933366	0.031054655	0.06053245
a39	0.046701886	0.5221166	0.04437597	0.044841122	0.070246644	0.13441762	0.13730007
a46	0.07725199	0.5611705	0.0588006	0.03138509	0.07616173	0.08840478	0.10682523
a38	0.0986439	0.4174538	0.076229006	0.03546378	0.112714835	0.13704076	0.122453995
a39	0.12755673	0.38194665	0.09446164	0.03953649	0.10901748	0.12593654	0.1215445
a31	0.13517183	0.25544962	0.10429582	0.057549745	0.115340404	0.1560895	0.17610304
a18	0.19831873	0.14948057	0.12146149	0.12623782	0.1299158	0.13166401	0.14292157
a31	0.1270845	0.20338589	0.110523745	0.07309634	0.12480748	0.16642036	0.19468167
a41	0.17695148	0.14133173	0.1304124	0.14021663	0.13738585	0.13559967	0.1381023
a35	0.12870707	0.14704695	0.12586136	0.11849928	0.15724106	0.15917379	0.16347054
a31	0.1424165	0.15050763	0.14009093	0.13759269	0.14043283	0.1427189	0.14624055
a28	0.19690005	0.13331516	0.13580306	0.13533995	0.13204	0.13204327	0.1345585
a27	0.12592407	0.13220361	0.12864278	0.13135305	0.18179505	0.1588887	0.14119272
a13	0.13948469	0.14397392	0.13893825	0.13884605	0.15046033	0.14568603	0.14261067
a46	0.13811818	0.14273782	0.13795257	0.13767473	0.15278114	0.14710598	0.14362949
a24	0.14083558	0.14519094	0.13990067	0.13806733	0.14466241	0.1448173	0.14652576
a39	0.14207666	0.14561497	0.14093606	0.13896081	0.14227217	0.14375497	0.14638437
a31	0.14219667	0.14594547	0.1409005	0.13834164	0.1411571	0.14378093	0.14767766
a11	0.15438364	0.14171444	0.14101207	0.14093678	0.14031824	0.14040847	0.14122632
a31	0.13992192	0.14282268	0.13974802	0.13875733	0.14784902	0.1457263	0.14517477
a21	0.14844106	0.14309868	0.14162724	0.14204982	0.14160347	0.14146014	0.14171965
</S>	0.14068146	0.14363521	0.14031005	0.13910985	0.14582397	0.1450254	0.14541401
