 	voglio	che	Maria	che	venga	domani	</S>
a8	0.062420197	0.0017953329	0.000488878	0.0010947117	0.038397994	0.6925901	0.20321277
a31	0.0596932	0.0022474078	0.004209054	0.0022463342	0.10517261	0.58718264	0.23924874
a8	0.04178563	0.0072677243	0.00075090356	8.5122156e-05	0.015411693	0.88595647	0.048742454
a31	0.08265306	0.10030301	0.114542946	0.07690123	0.057983067	0.016165225	0.55145144
a24	0.033061847	0.12817746	0.024232723	0.004166823	0.034000725	0.20800307	0.56835735
a31	0.0039122705	0.003638295	0.018734224	0.00029206235	0.005782019	0.00712563	0.96051544
a46	0.34001705	0.026646964	0.035651714	0.0072604055	0.13298577	0.30537352	0.15206467
a31	0.061385453	0.051134545	0.018009722	0.004182355	0.012380156	0.30154237	0.5513653
a29	0.12966274	0.011598516	0.005329314	0.012116022	0.06915319	0.6226881	0.14945212
a20	0.14527069	0.2468349	0.073105514	0.026508747	0.024056975	0.3446918	0.1395313
a0	0.19113858	0.3010716	0.15912758	0.028008884	0.018432269	0.15970165	0.14251947
a31	0.10606427	0.19237065	0.17727256	0.08066958	0.043197438	0.22906363	0.1713619
a23	0.12707902	0.048643596	0.066120654	0.03763161	0.09853979	0.38405773	0.23792757
a31	0.06560845	0.08357203	0.09016629	0.0575375	0.04846696	0.43332478	0.22132401
a18	0.18908907	0.08510566	0.09912714	0.08327528	0.14295532	0.22145873	0.17898872
a37	0.0769558	0.082403414	0.079896465	0.07012454	0.071009494	0.34990185	0.26970845
a31	0.12351126	0.12582149	0.121840626	0.11758134	0.117957816	0.17724529	0.21604215
a20	0.16722105	0.13501947	0.13481693	0.13288029	0.13906837	0.14683785	0.14415602
a31	0.13658321	0.13741991	0.13684031	0.13519242	0.13515814	0.1568128	0.16199315
</S>	0.15710057	0.13937147	0.13940842	0.13853636	0.14077221	0.14365798	0.14115292
