 	venne	scritto	</S>
a31	0.9941474	0.005683211	0.00016932639
a28	0.946525	0.053303074	0.0001719367
a8	0.94606704	0.052642073	0.0012908992
a31	0.9195063	0.016337924	0.06415582
a20	0.9971137	0.00073478563	0.0021514476
a31	0.11142117	0.33709264	0.5514862
a13	0.11070814	0.41728494	0.47200686
a29	0.45652565	0.23028614	0.31318823
a39	0.14207035	0.2885378	0.5693919
a31	0.24162804	0.28188038	0.47649154
a35	0.19986463	0.4103569	0.38977847
a31	0.5931033	0.16134208	0.2455546
</S>	0.2960398	0.36138347	0.34257677
