 	non	so	cosa	scrive	</S>
a46	0.21766682	0.39424744	0.33190227	0.009669906	0.046513524
a8	0.017885955	0.7623423	0.1284392	5.5753057e-06	0.091327
a31	0.032986175	0.3875913	0.15003966	0.00018347737	0.4291994
a13	0.1530623	0.45255038	0.31769276	0.00039995307	0.076294534
a31	0.29608145	0.25145143	0.17820214	0.00035461475	0.27391037
a28	0.0033258796	0.95698327	0.030115327	4.525127e-05	0.009530277
a31	0.016443621	0.4475686	0.093060724	0.017366435	0.4255605
a37	0.6845766	0.18233025	0.07018552	0.03337491	0.029532682
a31	0.12941067	0.25275737	0.33508298	0.22338417	0.059364807
a11	0.31028926	0.08587283	0.2401446	0.31493402	0.04875931
a31	0.092306934	0.13457145	0.40373418	0.3138437	0.055543665
a20	0.1472821	0.102857724	0.1720648	0.4827969	0.09499838
a31	0.09263281	0.121449485	0.27306283	0.43707284	0.07578199
</S>	0.1819172	0.16629088	0.17440435	0.31231204	0.16507547
