 	devo	pulire	l	albero	</S>
a39	0.0041891644	0.008671174	0.26056626	0.6969019	0.029671438
a31	0.0042873775	0.040511545	0.0064305263	0.89790916	0.05086137
a35	0.06473161	0.083352394	0.5344083	0.31398478	0.0035229677
a31	0.13984352	0.23047255	0.4126909	0.2050526	0.011940366
a20	0.03976664	0.90511346	0.02169678	0.026728261	0.0066948575
a31	0.39791605	0.44822907	0.016505716	0.00945664	0.12789246
a37	0.31089118	0.54995805	0.12646335	0.010547152	0.0021402717
a1	0.07689778	0.74653774	0.009950338	0.050895687	0.11571841
a20	0.072253324	0.74552184	0.020424055	0.10781196	0.05398879
a31	0.07746239	0.5083464	0.027388453	0.12158752	0.26521522
a39	0.093283646	0.37816393	0.04934688	0.20640416	0.27280137
a10	0.07247265	0.26147282	0.05503269	0.14866821	0.46235365
a29	0.12535499	0.26692382	0.05123808	0.11144011	0.44504297
a46	0.14728658	0.20858954	0.12769708	0.15128987	0.36513695
a31	0.149656	0.17654821	0.13321653	0.12831827	0.41226095
a20	0.20137255	0.21115862	0.1808814	0.1958822	0.2107052
a13	0.15250131	0.16621631	0.14250846	0.14766508	0.3911088
a20	0.18271881	0.18863115	0.18032537	0.18143697	0.2668877
a31	0.1937249	0.19658992	0.19198538	0.19267431	0.22502549
a11	0.21374273	0.19747433	0.19739336	0.19464913	0.19674048
a17	0.1993208	0.20215711	0.19794251	0.19879456	0.20178497
a20	0.19992183	0.20076747	0.19922143	0.19927348	0.20081572
</S>	0.20029804	0.20098804	0.1992441	0.19920078	0.20026901
