 	hai	già	mangiato	</S>
a38	0.3216115	0.6117216	0.048367605	0.01829933
a31	0.5193534	0.47322717	0.0007780277	0.0066414773
a20	0.6920891	0.2952685	0.011662936	0.0009794487
a31	0.8987411	0.09155172	0.0029063765	0.0068007857
a27	0.86543655	0.13167219	0.001672337	0.0012189251
a31	0.15628225	0.40598008	0.19908883	0.23864882
a20	0.16750076	0.82615757	0.0055116676	0.0008300299
a31	0.29969653	0.5503963	0.10792132	0.041985884
a39	0.47410473	0.2210957	0.25178263	0.05301693
a20	0.55981183	0.17970982	0.1656471	0.09483129
a10	0.5349549	0.12010818	0.23768474	0.1072521
</S>	0.19380142	0.22072154	0.41031596	0.17516115
