 	se	si	era	vestita	la	mia	figlia	l	avessi	portata	alla	chiesa	</S>
a31	0.21627763	0.47350875	0.09179123	0.0087934425	0.001198457	0.006426135	0.0022427351	0.0012429673	0.0016466891	0.0048198793	0.04017281	0.10373473	0.04814452
a24	0.0030482383	0.7053349	0.089052744	0.013908092	4.902397e-07	0.0052163806	0.0075925803	0.0028678658	0.00042499707	0.13586766	0.022795433	0.0054877107	0.008402893
a28	0.10601455	0.29834545	0.05078475	0.077400066	1.1151746e-05	0.0040972354	0.0118168	0.0042196047	0.00023002649	0.22153841	0.002329718	0.028286735	0.19492555
a39	0.05432747	0.2288196	0.02528671	0.026755584	1.3780177e-05	0.0035689892	0.006427091	0.0023485087	0.00025627486	0.46795425	0.0054065613	0.04047268	0.13836244
a17	0.023372058	0.086580716	0.012431755	0.030505154	0.00040403925	0.0051213847	0.010253546	0.010226787	0.0035634502	0.584118	0.018479018	0.10390845	0.11103569
a31	0.0382665	0.06683548	0.006578928	0.005226369	0.00043012813	0.007000835	0.008176871	0.004841149	0.0033139628	0.5654201	0.07353325	0.17244157	0.04793487
a20	0.04787142	0.2853577	0.059766565	0.014967895	7.0181654e-06	0.0019919432	0.00239952	0.001260627	0.000101740676	0.3290542	0.109488934	0.080222316	0.06751004
a31	0.003643785	0.009735729	0.004560917	0.0014287923	0.00018799496	0.0190954	0.014315303	0.0059313923	0.0018915104	0.095424026	0.32434407	0.4095974	0.10984359
a17	0.037666205	0.23428611	0.026704576	0.028046193	2.7183181e-05	0.002071116	0.0026411072	0.0041999435	0.0005095936	0.14943874	0.2948403	0.1555109	0.06405802
a8	0.0025699062	0.0072783353	0.0031222934	0.0011950558	0.00034148918	0.011496144	0.0053161657	0.005065624	0.003991022	0.23718183	0.3975709	0.2769691	0.047902156
a31	0.0021389402	0.0024402176	0.0010889438	0.00023083904	8.155465e-05	0.009355898	0.0059795342	0.0021460876	0.0006717828	0.12425352	0.459894	0.30483967	0.08687905
a8	0.05750147	0.005285846	0.0052354257	0.006536305	0.0007768404	0.011610449	0.0030167343	0.0026631725	0.0019593567	0.14368014	0.10642633	0.52187616	0.13343176
a24	0.021693913	0.032581456	0.011956091	0.0034816382	0.0050892583	0.012177262	0.017137878	0.017107505	0.017365444	0.5546282	0.17836735	0.10975069	0.018663231
a31	0.059215877	0.090611055	0.06471753	0.04590456	0.03697276	0.052742384	0.049730085	0.043651726	0.04161505	0.25214255	0.14738066	0.07564327	0.03967249
a20	0.49552232	0.028811792	0.04543854	0.041678224	0.017250735	0.03879329	0.024254603	0.02331097	0.024417993	0.13541272	0.035006195	0.057800945	0.032301668
a31	0.019889703	0.03416242	0.05072102	0.04511169	0.034205128	0.05213401	0.045970563	0.047228158	0.04737142	0.38404295	0.15801726	0.056241654	0.024903968
a41	0.23504119	0.03676813	0.040326014	0.04222375	0.023893693	0.046393182	0.029341687	0.027134039	0.027052026	0.30159917	0.054275345	0.09077006	0.04518169
a31	0.021631412	0.032304503	0.0761956	0.068500645	0.041695002	0.078375064	0.06443687	0.066781096	0.07087379	0.26196298	0.14332555	0.047995597	0.025921874
a13	0.28998652	0.039859857	0.039028108	0.039850887	0.030252263	0.042097915	0.03324006	0.031973056	0.031896614	0.25799805	0.048508868	0.07071622	0.04459157
a37	0.031525802	0.038108844	0.10122218	0.0874064	0.046867084	0.103943676	0.07491024	0.075839244	0.08179605	0.14942645	0.11624876	0.054767784	0.037937548
a8	0.04064834	0.047109928	0.11714634	0.1001255	0.054145478	0.11887272	0.08310137	0.08120358	0.08702855	0.10793283	0.07076234	0.05034818	0.041574843
a39	0.033436146	0.051679365	0.1102246	0.100650296	0.068197116	0.11241831	0.096408434	0.09368068	0.09679814	0.11677131	0.055372212	0.03727611	0.027087336
a20	0.04402212	0.050286725	0.12872112	0.11060596	0.06100499	0.12950474	0.092525855	0.09052725	0.097451486	0.05678389	0.051887948	0.044742323	0.04193559
a24	0.038701996	0.04795659	0.13204518	0.115871646	0.062008966	0.13160014	0.09834649	0.09596171	0.10282708	0.053436518	0.04717969	0.03874779	0.035316214
a18	0.03658822	0.048506662	0.13233374	0.11942958	0.06392398	0.12917975	0.100700505	0.09831301	0.10451362	0.051605538	0.04636349	0.03626356	0.0322784
a23	0.034820646	0.051021572	0.12598418	0.11674879	0.0699415	0.12316156	0.103502765	0.10133023	0.10593402	0.054769486	0.04865375	0.034896836	0.029234694
a24	0.03516963	0.053832762	0.12220252	0.11437814	0.073357016	0.11937649	0.10375645	0.10169122	0.10543602	0.056386773	0.050689977	0.035199095	0.02852391
a31	0.035056453	0.053206407	0.12527265	0.11784965	0.07159704	0.120471455	0.10331352	0.10123066	0.1053285	0.053722806	0.049535118	0.034745645	0.028670095
a20	0.23726375	0.06493659	0.078132115	0.07629992	0.056020606	0.07004773	0.06108087	0.060641497	0.06193965	0.0623845	0.055936255	0.0585771	0.056739368
a3	0.03356889	0.04782125	0.12244353	0.11216928	0.06765612	0.1224141	0.101523966	0.10003218	0.104896426	0.059568223	0.06004321	0.037407253	0.030455593
a31	0.039460868	0.048543252	0.13300261	0.117102705	0.061524276	0.13119484	0.09716491	0.0949045	0.10181475	0.050984506	0.04842673	0.039539073	0.03633704
a13	0.13578251	0.07131257	0.07974831	0.07811699	0.06702148	0.076436765	0.07040154	0.070100054	0.0709326	0.07588635	0.06753889	0.069145665	0.06757626
a31	0.04187303	0.0483794	0.12621178	0.10858491	0.059702195	0.12740028	0.091423534	0.08985468	0.09659271	0.05885109	0.062944286	0.046420973	0.04176113
a3	0.107210174	0.07346731	0.07572976	0.07583976	0.06981984	0.07390483	0.07120723	0.07098145	0.071219586	0.09368676	0.071809664	0.07374472	0.071378976
a20	0.044526793	0.05005146	0.12237953	0.1044745	0.059473302	0.12377605	0.08812179	0.086803585	0.09324111	0.06326181	0.068624735	0.05017103	0.045094308
a39	0.05899708	0.061925657	0.10749932	0.09396559	0.06604323	0.108574554	0.08246237	0.08127222	0.08534965	0.07078137	0.06465956	0.06025865	0.05821073
a20	0.05503891	0.05851859	0.11377571	0.098131694	0.0645454	0.11504838	0.08467956	0.083430514	0.08840283	0.06318456	0.0638828	0.056793723	0.05456728
a31	0.053768266	0.057610597	0.116787754	0.10036406	0.06408944	0.11799933	0.08587016	0.08441931	0.08974793	0.062218886	0.059798464	0.054631457	0.05269441
a24	0.12225229	0.0731037	0.07463219	0.07399167	0.07113796	0.07376016	0.0720702	0.0719691	0.07217571	0.07771362	0.07205247	0.0730598	0.0720812
a46	0.0463555	0.051618796	0.12285991	0.104715295	0.060608495	0.12420434	0.08845538	0.086973295	0.09336836	0.06072687	0.063913584	0.050076574	0.04612364
a31	0.054008283	0.057944197	0.117610864	0.10079727	0.064302765	0.11871816	0.08637696	0.08481492	0.09018949	0.060357567	0.058282267	0.05410613	0.052491095
a18	0.13161409	0.07275147	0.07364766	0.07289481	0.07117769	0.0730149	0.07183617	0.07176661	0.07192624	0.07333591	0.071701884	0.07243522	0.071897306
a31	0.050619777	0.055029374	0.121441424	0.10379236	0.063186504	0.1228727	0.088181235	0.08664935	0.09272088	0.05770979	0.057135664	0.051304758	0.04935615
a20	0.12591839	0.07341757	0.073252514	0.07299616	0.071555346	0.07246583	0.07186679	0.071800336	0.07185555	0.07688227	0.07227561	0.07321299	0.07250067
a24	0.055730846	0.059002887	0.112737544	0.09747787	0.06506952	0.114130884	0.084525794	0.08341303	0.088369645	0.063468054	0.06370978	0.057197157	0.05516704
a31	0.06727524	0.06900198	0.095641285	0.087294914	0.07091465	0.0960028	0.0802862	0.0795577	0.08195125	0.070124574	0.06867229	0.067003116	0.066273935
a23	0.1347964	0.072469905	0.07361114	0.0727294	0.07092521	0.07303203	0.071683414	0.071607575	0.071797945	0.0728595	0.07129277	0.07182617	0.07136855
a20	0.054080993	0.05780989	0.11701731	0.100471415	0.064597465	0.11838629	0.086359054	0.08497025	0.0904	0.059798412	0.058903668	0.054386247	0.052818935
</S>	0.06803452	0.06944814	0.0940485	0.08628631	0.07154655	0.09464269	0.08013231	0.079494305	0.08171683	0.07030337	0.06927523	0.067838855	0.06723241
