 	stava	ancora	cucinando	</S>
a8	0.0061263097	0.006212408	0.9588175	0.028843788
a46	4.7098893e-06	0.009174556	0.9891663	0.0016543306
a24	1.5497025e-07	0.006106591	0.9918321	0.0020611826
a37	9.214755e-07	0.0054381844	0.9904855	0.0040753894
a20	5.2876345e-05	0.21114676	0.7644739	0.024326403
a31	0.016302181	0.641081	0.28142792	0.061188914
a37	0.019579867	0.14776818	0.790081	0.042570874
a31	0.43271804	0.38310817	0.07184714	0.1123267
a20	0.12680711	0.1242551	0.5659195	0.18301821
a31	0.6362465	0.17692308	0.06417343	0.12265697
a6	0.22047581	0.18835719	0.42288482	0.16828224
a31	0.53067255	0.1837113	0.081619106	0.20399709
a20	0.21752465	0.21498589	0.34754968	0.21993977
a46	0.33001256	0.2325279	0.20540564	0.23205382
a31	0.26861852	0.25227106	0.23758823	0.2415222
</S>	0.25143898	0.23339975	0.2678239	0.24733736
