 	se	aveva	vestito	la	figlia	l	avessi	portato	alla	chiesa	</S>
a23	0.85161984	0.04808673	0.0058563245	0.00028786305	0.0020319794	0.0021288707	0.01838755	0.0035585165	0.010238997	0.04554332	0.012260039
a31	0.7669388	0.00012774835	0.0015906964	1.4709874e-06	0.024563465	0.00026558232	0.014152519	1.429641e-05	0.0018307599	0.022778707	0.16773592
a20	0.7270278	0.13810484	0.0030996131	1.523919e-06	0.00063721265	0.005339788	0.033149146	0.00014484259	0.04357061	0.044102542	0.0048221024
a13	0.8435456	0.0012464393	0.0060506025	3.1007291e-06	0.036779635	0.00045523298	0.0117398845	8.017064e-06	0.00089577574	0.0041397545	0.09513589
a37	0.68142307	0.0001498248	0.0011941965	3.4117625e-07	0.004586456	0.00014669578	0.013202075	1.785713e-05	0.0017103449	0.011352513	0.2862167
a31	0.46691462	0.0001280654	0.0136176525	5.464539e-07	0.004478159	0.00047240287	0.011513072	0.00044954946	0.019572156	0.1302274	0.35262635
a43	0.3446678	0.00030825412	0.3810008	1.4994799e-06	0.089636564	0.0018865628	0.021197325	4.3174026e-05	0.07585658	0.06405291	0.021348516
a31	0.015321515	0.0003522656	0.00030542008	3.9120077e-05	0.00010361801	0.00052557496	0.0010942772	0.0015347757	0.23020387	0.5181581	0.23236145
a24	0.15101568	0.0002980881	0.06526179	5.570447e-06	0.004143648	0.0075517697	0.040459063	0.0001375949	0.47790396	0.22220784	0.031014979
a7	0.022879163	0.00047850588	0.0021401057	0.0002720813	0.00059910683	0.0012053131	0.0045769494	0.0022130487	0.22307867	0.69071203	0.05184492
a31	0.07956511	0.002887152	0.013198096	0.00097533467	0.001813075	0.0007776936	0.0030069365	0.0028093187	0.08924987	0.6657776	0.13993974
a13	0.24389452	0.0053724665	0.014243448	0.003332845	0.0056054587	0.009779907	0.012080421	0.018171838	0.1580738	0.35169613	0.17774919
a28	0.039869916	0.004682534	0.028599648	0.0047557466	0.0105847865	0.017570097	0.029653683	0.037759025	0.21560627	0.5716783	0.039239965
a20	0.061986472	0.0047472296	0.030228758	0.004355023	0.009607994	0.010837704	0.013733315	0.032561753	0.1725379	0.5568168	0.10258706
a31	0.07712491	0.0150372	0.04079575	0.015668606	0.024541201	0.054450564	0.07299797	0.114846095	0.085515186	0.43728337	0.061739188
a37	0.38367137	0.016062642	0.018122928	0.013853757	0.015942324	0.025409278	0.03431815	0.049607005	0.039734192	0.3409009	0.062377386
a1	0.052737046	0.033492815	0.04714469	0.033180367	0.038240954	0.12308664	0.15419248	0.21274322	0.1001988	0.13829637	0.0666866
a28	0.07954331	0.050586656	0.07633573	0.051558718	0.06196352	0.16982791	0.2160105	0.10357025	0.062176503	0.07721376	0.05121313
a1	0.07605645	0.06952295	0.07258658	0.06919341	0.07038111	0.10830294	0.13597427	0.15162806	0.079257436	0.085949644	0.081147194
a28	0.07772629	0.06680212	0.077043794	0.0673222	0.07173249	0.1514614	0.20235404	0.08124807	0.06849346	0.07020191	0.065614216
a31	0.08717157	0.08380251	0.08511684	0.08372326	0.08427778	0.09972715	0.1127529	0.10393011	0.08581093	0.08739399	0.08629299
a20	0.13598153	0.08517317	0.08629066	0.08483075	0.085342616	0.08650835	0.088114515	0.08590409	0.085496254	0.090578385	0.08577965
a31	0.08757191	0.08610692	0.08738253	0.08608787	0.08669094	0.10028953	0.112321086	0.09116499	0.08840903	0.087563224	0.08641195
a20	0.123181745	0.08685535	0.08754776	0.08641877	0.08677223	0.08680617	0.0872131	0.08707148	0.0873931	0.09321632	0.08752405
a31	0.0887576	0.08786336	0.08860841	0.08782148	0.08820221	0.096055	0.10308304	0.09133051	0.090886176	0.08926471	0.088127546
a8	0.12892008	0.08643258	0.08713159	0.085881904	0.0862381	0.08614128	0.08643159	0.08633735	0.08697219	0.09257329	0.08694001
</S>	0.08747109	0.08571219	0.08699324	0.08558249	0.08635956	0.09822153	0.10913582	0.08801314	0.097849056	0.08896675	0.08569519
