 	lui	sapeva	che	oggi	fa	freddo	fa	freddo	e	non	ha	fatto	il	bagno	</S>
a31	0.12741852	0.025962073	0.0005953016	0.0014399603	0.0036271582	0.0020712898	0.002689487	0.00263057	0.0035644595	0.0026319348	0.002100151	0.45797825	0.13702212	0.1428162	0.08745245
a10	0.0017095135	0.036503453	0.0020657582	0.0112375	0.017616527	0.0126056485	0.0068657007	0.0030050501	0.011903955	0.016713463	0.0032162648	0.79797757	0.0048011225	0.0043116044	0.06946692
a39	0.15660171	0.032069016	0.0584888	0.070559874	0.017446898	0.011131364	0.008737711	0.02118723	0.022356374	0.0029337099	0.0008660711	0.39913028	0.031563543	0.057703547	0.10922383
a31	0.039176796	0.005458568	0.013184282	0.03327607	0.039539155	0.004935708	0.0037548298	0.0043011517	0.00449143	0.0071271304	0.004375158	0.026478976	0.0747854	0.64281934	0.09629609
a21	0.017161766	0.13428997	0.005364991	0.010921193	0.011378414	0.008380988	0.0074959686	0.015212342	0.024110131	0.008045107	0.0014929025	0.6738656	0.0075554415	0.04068907	0.03403615
a31	0.00023071113	0.0016101818	0.0011550869	0.008463326	0.10802355	0.16708675	0.11670489	0.081816435	0.05265908	0.14163075	0.007719723	0.16184491	0.023885218	0.05734183	0.06982757
a21	0.028965147	0.03325466	0.0012425594	0.0025742745	0.0016509504	0.004420604	0.003742234	0.033697683	0.033696428	0.005970659	0.0071069933	0.39217567	0.14650817	0.17497915	0.13001475
a31	0.0038377868	0.014199116	0.014751782	0.06940635	0.116226226	0.07813038	0.078880854	0.010327496	0.021472212	0.051328607	0.011234322	0.07905588	0.04090529	0.28614905	0.12409464
a28	0.11877337	0.021386437	0.0039362	0.0038230065	0.006303854	0.017808845	0.020643143	0.10400125	0.115520306	0.04931005	0.016772037	0.102164514	0.23582913	0.15955338	0.0241745
a31	0.028774276	0.060098533	0.028312398	0.09574838	0.051236436	0.018868722	0.015263377	0.0031457292	0.0063999663	0.019271323	0.054118734	0.05079526	0.1244424	0.38194376	0.061580665
a37	0.21524706	0.034930967	0.025740666	0.012472993	0.032531373	0.05256617	0.089316994	0.08170309	0.091862835	0.15043558	0.051413942	0.036393538	0.06143358	0.059832405	0.0041187853
a31	0.067730956	0.073084615	0.053736076	0.06724297	0.03768875	0.012667058	0.011088833	0.005367786	0.010556626	0.033201195	0.16177922	0.04516693	0.16871059	0.22682755	0.025150837
a6	0.10571631	0.06997997	0.06411492	0.040811256	0.05396259	0.054399304	0.12782967	0.027183097	0.055246383	0.19266301	0.124130934	0.017112507	0.037327994	0.024538685	0.004983444
a31	0.11358293	0.05378772	0.0294747	0.11929641	0.03904726	0.03793834	0.015998822	0.012789503	0.009588272	0.03301986	0.24749431	0.043833993	0.113414295	0.107391395	0.023342172
a20	0.086280406	0.061691232	0.049536843	0.13006736	0.13506202	0.07487412	0.06493895	0.036997784	0.040142793	0.048174016	0.097215675	0.038410164	0.05223986	0.053611666	0.030757068
a41	0.048209332	0.06638646	0.046024747	0.03905198	0.027875144	0.029956816	0.032076016	0.02902418	0.034113366	0.06366704	0.38606307	0.04170746	0.05862598	0.07662928	0.020589076
a33	0.06422655	0.085233346	0.06968721	0.05954016	0.05770533	0.052786395	0.057518743	0.054739136	0.060888786	0.080807135	0.1243276	0.05530732	0.062028985	0.06639689	0.0488064
a31	0.060641695	0.10075811	0.07849894	0.050844226	0.04823356	0.04485635	0.058631282	0.0541267	0.06751032	0.09688667	0.13800927	0.048475757	0.050311714	0.06130645	0.04090899
a37	0.1869211	0.057523035	0.05225518	0.057309706	0.058644373	0.054181553	0.05501212	0.061478592	0.0735397	0.05783217	0.057498466	0.058979556	0.05534976	0.060406893	0.05306776
a27	0.060816154	0.07745282	0.06887957	0.059558813	0.058027748	0.058360517	0.06149314	0.06032596	0.06435852	0.07772276	0.10154297	0.061316878	0.065372646	0.06839948	0.056371942
a31	0.06657406	0.070394985	0.067748964	0.06681206	0.067080334	0.06465453	0.065650776	0.0649705	0.06614032	0.06952207	0.07155676	0.0643428	0.065383226	0.06534233	0.06382625
a3	0.08836197	0.06618183	0.062572986	0.0686004	0.06958481	0.06314693	0.06270776	0.063295126	0.06617779	0.064696714	0.0705427	0.06338162	0.06341064	0.06697524	0.06036346
a8	0.06547862	0.07037074	0.067648426	0.064902425	0.06455095	0.0642037	0.0652374	0.06496671	0.06609283	0.07019647	0.07537406	0.06473911	0.0663133	0.06637555	0.0635497
a38	0.06332144	0.09659806	0.079039484	0.057571203	0.056863807	0.053323016	0.06388725	0.06068276	0.07030038	0.09209403	0.08965611	0.053789124	0.05383952	0.057531357	0.051502455
a31	0.06601426	0.07505435	0.06990899	0.064313196	0.0641527	0.063010715	0.06569747	0.06482182	0.06740672	0.07369538	0.07253775	0.06314125	0.06343555	0.06428953	0.06252036
a33	0.102252714	0.06495897	0.062351156	0.06277202	0.06293014	0.0622625	0.06289114	0.06547719	0.06993568	0.06505519	0.06510583	0.064399876	0.06294946	0.064764	0.06189414
</S>	0.06160436	0.09669273	0.07813244	0.05625104	0.054870903	0.052019738	0.06239809	0.058927085	0.06888421	0.09214175	0.10025346	0.053715777	0.054113746	0.060405675	0.04958894
