 	forse	sono	usciti	</S>
a23	0.9276747	0.0099768145	0.01644207	0.045906387
a31	0.99993694	2.526037e-06	6.717888e-07	5.984292e-05
a23	0.9985684	0.0011876894	2.1343063e-05	0.00022255575
a31	0.9999012	3.1279942e-05	1.2176462e-06	6.633588e-05
a10	0.99972206	0.00019717531	5.395842e-07	8.019091e-05
a37	0.019552695	0.039936293	0.0017555152	0.93875545
a31	0.014450487	0.6331104	0.03432421	0.31811482
a37	0.10172506	0.31947926	0.25376257	0.32503313
a31	0.12582362	0.13932958	0.6717076	0.06313922
a39	0.24373133	0.31501558	0.26706585	0.17418727
a31	0.13428022	0.09135135	0.6464035	0.127965
</S>	0.23973306	0.27887073	0.2565694	0.22482683
