 	che	consuma	poco	benzina	</S>
a31	0.08742047	0.03020485	0.0015058675	0.00075615494	0.88011265
a41	0.97159666	0.013867014	2.2983546e-05	1.0204583e-06	0.0145123135
a31	0.99318296	0.00030251956	3.837886e-05	1.8000424e-05	0.006458156
a28	0.012482118	0.00038806905	0.0022594943	0.010622227	0.97424805
a24	0.00028433537	8.475221e-05	5.0815914e-05	0.0002755715	0.99930453
a31	0.16069187	0.13878609	0.12230204	0.37332916	0.20489083
a11	0.2633535	0.14303541	0.21367936	0.19509125	0.1848405
a31	0.17258064	0.18732344	0.35025007	0.17079268	0.119053215
a46	0.21019192	0.18340644	0.23003532	0.18942375	0.1869425
a31	0.17248793	0.1749324	0.18385881	0.22982681	0.2388941
</S>	0.22857344	0.17780483	0.17789473	0.18513443	0.23059256
