 	non	aveva	dove	a	stare	</S>
a31	0.006058869	0.013973027	0.016322015	0.0035893435	0.747106	0.21295078
a8	0.0018747193	4.528571e-05	0.041049365	0.0006239783	0.38443437	0.5719723
a31	0.00043508614	4.175723e-06	0.8215034	0.001579155	0.15749566	0.018982517
a28	0.08519507	0.0039215367	0.1228212	0.01448439	0.46422255	0.30935526
a37	0.0011642037	0.00015029903	0.9581372	0.012662533	0.0054370314	0.022448724
a31	0.004697894	0.00090103096	0.45466125	0.059935864	0.019674089	0.46012992
a18	0.025776254	0.03228008	0.27170175	0.0104664825	0.039834734	0.61994064
a0	0.019540459	0.044385552	0.017253244	0.04272647	0.14223818	0.73385614
a23	0.032072745	0.060875222	0.020495221	0.047801197	0.37980127	0.4589543
a8	0.04980792	0.15450868	0.06789302	0.071246736	0.3440016	0.31254205
a31	0.04993329	0.17315409	0.09927864	0.106559195	0.28860348	0.28247133
a20	0.2055421	0.14730929	0.15485065	0.15220325	0.17401463	0.16608012
a31	0.08771657	0.13268764	0.11014594	0.11054858	0.42839122	0.13050997
a20	0.19263646	0.15150549	0.15582986	0.15364002	0.18630233	0.1600858
a24	0.12360097	0.13745514	0.13076495	0.13209431	0.33787867	0.13820596
a8	0.16102985	0.1754409	0.1692859	0.1668016	0.16743146	0.16001031
a31	0.15992945	0.17210631	0.16674371	0.16506062	0.17249903	0.16366088
</S>	0.19956964	0.15867771	0.16087368	0.15894063	0.16136292	0.1605754
