 	i	bambini	piccoli	li	vestono	i	genitori	</S>
a31	0.47054705	0.044181194	0.003913824	0.007569649	0.0759331	0.05272951	0.25332505	0.09180058
a20	0.86060077	0.0014731892	0.0066261506	0.00068522734	0.04917152	0.02495799	0.02982776	0.026657358
a31	0.9126231	6.013583e-06	0.064515	0.00010608786	0.0003572401	0.0001628884	0.0056310613	0.016598566
a29	0.17461778	0.0007807152	0.033568043	0.013521337	0.5753788	0.09604546	0.041251257	0.06483659
a31	0.13853252	1.470614e-05	0.8212697	0.00027206662	0.0028480391	0.0005856531	0.012837848	0.023639588
a20	0.64465034	0.00017853119	0.18362825	0.00070566125	0.043718297	0.012281963	0.04175648	0.07308047
a31	0.29311672	0.00017864536	0.002647922	0.007455098	0.057246435	0.045926437	0.24734129	0.34608743
a18	0.7766778	9.7296506e-05	0.07969561	0.0002613422	0.051711306	0.020409236	0.053951852	0.017195432
a20	0.30130595	0.0012674261	0.0022872991	0.0048193065	0.13461313	0.13149682	0.3221413	0.10206876
a31	0.13092798	0.00019584628	0.0006359038	0.00025962843	0.011208356	0.044885706	0.6631618	0.14872476
a28	0.84077317	0.0045060073	0.009649785	0.0010593764	0.0035246434	0.016343702	0.08583061	0.038312823
a31	0.45547554	0.056535598	0.059004974	0.052977942	0.05692861	0.14777061	0.12622337	0.045083396
a11	0.84802514	0.0034572142	0.0049449536	0.0013921729	0.003352599	0.01689956	0.086568125	0.03536017
a24	0.27427888	0.09490619	0.10079288	0.070312314	0.06333461	0.20539246	0.12683633	0.06414635
a38	0.46589774	0.10070058	0.10855648	0.06877119	0.0543069	0.07438193	0.07316314	0.05422203
a31	0.32281792	0.118982755	0.13092798	0.08648977	0.079262175	0.10310621	0.08859875	0.06981441
a46	0.14989837	0.059118576	0.060210694	0.05230298	0.053919736	0.34470293	0.21199138	0.06785532
a20	0.36233518	0.14551027	0.1619493	0.07063364	0.072057955	0.06223845	0.06367139	0.061603762
a31	0.22380784	0.13468069	0.14083086	0.094486445	0.09806165	0.1095527	0.10275792	0.09582185
a46	0.22699703	0.113486335	0.111454666	0.09924827	0.10008909	0.12936713	0.11667256	0.102684885
a31	0.18980509	0.1251705	0.122893795	0.112895064	0.11204152	0.11058802	0.11375274	0.112853296
a8	0.1698616	0.113719955	0.11816392	0.108723454	0.10928168	0.14416572	0.12478193	0.11130175
a31	0.1391689	0.12354895	0.12323827	0.12408598	0.12360127	0.121321626	0.1225938	0.122441195
</S>	0.19363882	0.11869595	0.120823435	0.11127508	0.11141439	0.11719279	0.11469614	0.11226339
