 	qui	ancora	stanno	con	la	luce	accesa	e	stanno	svegli	</S>
a31	0.49304283	0.18232028	0.02908793	0.00031207	0.00044120793	0.0007275413	0.10546778	0.0020982996	0.024296878	0.08774962	0.074455515
a23	0.0002755292	0.15330666	0.028024102	3.3072538e-06	6.4209377e-07	0.00040327027	0.7697216	0.0078066764	0.014311158	0.005093831	0.021053229
a31	0.00031122568	0.047776803	0.04305914	7.7815207e-07	2.2459861e-07	0.0003627641	0.8632957	0.0006868973	0.0009920242	0.002536224	0.040978294
a23	0.00036056206	0.22420426	0.008277583	3.3702425e-05	4.9107243e-06	0.0012067719	0.5910179	0.053005587	0.09106389	0.013171234	0.017653657
a10	0.0005433705	0.049793836	0.25815699	4.8053585e-05	5.239597e-06	0.00071041763	0.63747054	0.005500653	0.004968559	0.009916324	0.03288599
a31	0.00017075277	0.038932707	0.53155714	3.605473e-05	4.0883015e-06	0.0007474751	0.40376076	0.000805143	0.0014843926	0.0049613854	0.017540121
a37	8.301999e-05	0.4515035	0.06471599	2.6170865e-06	7.4131975e-07	0.00011983233	0.4580229	0.0019883905	0.005669109	0.0023023095	0.015591545
a27	0.00018885318	0.011747753	0.0815046	0.00026402588	7.871926e-05	0.0012716185	0.7182874	0.026464732	0.051579613	0.04921719	0.05939552
a31	0.00065409514	0.0035415804	0.03477052	0.00037347	4.818184e-05	0.0024313247	0.72222817	0.016861856	0.042550083	0.079052135	0.09748863
a44	0.0023965596	0.0101758195	0.12770039	0.00022248742	0.000101118065	0.0020422174	0.73679835	0.0125205545	0.025392463	0.053109307	0.029540846
a23	0.0016401984	0.010987753	0.0130143035	0.00048280414	0.00045332935	0.00076887454	0.7854152	0.03363372	0.06806183	0.05002003	0.035521917
a37	0.0008676159	0.007008237	0.014850678	0.0009795326	0.0015212764	0.0056864084	0.41150373	0.0595088	0.19113865	0.19354266	0.11339244
a38	0.015036752	0.088791795	0.060249146	0.014694256	0.016324608	0.011526594	0.1564396	0.09633977	0.20269208	0.19410491	0.14380041
a46	0.02174876	0.14600125	0.073738635	0.0140533345	0.03848233	0.018135378	0.35112706	0.05174148	0.14181973	0.09155679	0.05159523
a31	0.055104338	0.18993753	0.08489009	0.035832193	0.05084987	0.0356497	0.10957678	0.07139401	0.12448095	0.117663935	0.12462064
a28	0.14079131	0.050201073	0.16345479	0.022812435	0.022307204	0.02669833	0.17783675	0.04686793	0.07632909	0.14660099	0.1261001
a31	0.06290014	0.09949369	0.10504899	0.06001081	0.061820295	0.0579502	0.09656658	0.08849472	0.13786587	0.11425712	0.1155916
a14	0.080928095	0.06424214	0.2047265	0.04463311	0.044081744	0.050188094	0.19652675	0.068916626	0.07857296	0.09209232	0.07509163
a31	0.071751975	0.09503289	0.10886269	0.066693574	0.068483844	0.066356815	0.09802563	0.10005801	0.11814927	0.10681942	0.099765874
a20	0.14211632	0.07535126	0.11268432	0.06780401	0.06730703	0.07082836	0.118306994	0.08036551	0.08533353	0.09461266	0.08529008
a31	0.08540212	0.09209423	0.10311487	0.08283411	0.08316371	0.082601085	0.09332743	0.09314836	0.09711869	0.09443638	0.09275902
a20	0.16995399	0.08063553	0.093895115	0.07566503	0.07555917	0.076867275	0.09341156	0.080473594	0.08252351	0.08714541	0.08386976
a31	0.089494996	0.09079846	0.096764944	0.087935925	0.087996826	0.087823614	0.09231597	0.091666244	0.09274006	0.091803424	0.09065949
a20	0.16739668	0.08308213	0.090654925	0.079076365	0.07905269	0.079735644	0.088287935	0.081612356	0.082694635	0.08502398	0.08338265
a10	0.09022911	0.090627186	0.095013075	0.0890844	0.089114316	0.08899474	0.092011526	0.09139689	0.091945216	0.09128469	0.09029884
a31	0.0904862	0.090410285	0.10128447	0.08877802	0.088485725	0.08872723	0.09362959	0.08941136	0.08968344	0.08973991	0.08936379
a37	0.13464649	0.0851966	0.10590579	0.08014693	0.07990317	0.08049362	0.09459227	0.083917685	0.08498902	0.086349145	0.08385928
a38	0.09078867	0.09044386	0.10203517	0.08869096	0.08838379	0.0886049	0.09353974	0.08946452	0.08954271	0.08946913	0.08903656
</S>	0.09108684	0.09039317	0.103933804	0.088402	0.08804527	0.088305786	0.09397933	0.08906137	0.089056104	0.089069694	0.088666625
