 	le	buone	canzoni	si	scrivono	alla	notte	</S>
a46	0.38014817	0.39064342	0.0005185453	0.0004884316	0.0003332187	0.03361811	0.05584095	0.13840923
a8	0.29092604	0.13546991	1.2353539e-05	0.5394046	0.017721968	0.0012625456	0.0027794458	0.012423205
a31	0.5461227	0.013605755	1.3923637e-05	0.40036628	0.008876066	0.0025931117	0.006206674	0.022215502
a41	0.01726325	0.01288726	7.3948894e-07	0.003038332	0.010364695	0.0011470969	0.008766638	0.946532
a31	0.39689147	0.029934559	1.9202631e-05	0.31058273	0.02587242	0.012078975	0.04268483	0.18193568
a0	0.19416767	0.498785	5.423197e-06	0.15025963	0.098566964	0.003531859	0.0020584173	0.052625038
a31	0.23139252	0.25497928	1.3656897e-05	0.01676248	0.0051413197	0.03705904	0.18225007	0.27240166
a39	0.085153535	0.68361574	2.9108896e-06	0.005786222	0.0067720152	0.15528034	0.034794234	0.028594982
a31	0.0152763985	0.02394185	0.000497843	0.0011288031	0.056158416	0.12263061	0.33830413	0.44206193
a10	0.036086474	0.026062332	7.963467e-06	0.00014754201	0.0030105647	0.8501344	0.06909365	0.015457216
a20	0.0036266444	0.006609049	0.0013084227	0.00091988646	0.08504437	0.6265491	0.16342469	0.11251773
a31	0.0016733255	0.002820471	0.0010958918	0.0007431543	0.061010465	0.27824724	0.3886601	0.26574934
a10	0.07833174	0.02154084	0.0019301894	0.0010128019	0.0073533347	0.77797836	0.102605775	0.009246858
a20	0.0051960065	0.018289419	0.0076807523	0.0014788661	0.034621138	0.7910741	0.10316207	0.03849771
a31	0.011310714	0.06528673	0.019948808	0.002231451	0.009340799	0.85138136	0.028900003	0.011600139
a13	0.51964414	0.18908346	0.023870848	0.0077086873	0.012091021	0.17982827	0.05060191	0.017171634
a20	0.03503452	0.59102327	0.076553084	0.029417625	0.0385643	0.1530937	0.04257766	0.0337359
a31	0.07943649	0.44611305	0.08121425	0.06689045	0.07404945	0.10665236	0.07531432	0.0703296
a28	0.46041375	0.12122903	0.0663623	0.06317231	0.067150965	0.08403922	0.07137025	0.066262126
a24	0.088947706	0.31278914	0.11422027	0.08511605	0.09171032	0.13041653	0.09187402	0.084925994
a46	0.12015221	0.22721219	0.11030477	0.104440235	0.10523187	0.12857497	0.10476964	0.09931411
a39	0.14552589	0.18283524	0.10371444	0.109159045	0.11032408	0.13969591	0.10809472	0.100650676
a46	0.14256364	0.15630996	0.11685948	0.11734841	0.11522035	0.121825844	0.116064034	0.11380829
a8	0.14381303	0.15140973	0.113869675	0.117872365	0.116645634	0.12790702	0.11585318	0.11262937
</S>	0.1383078	0.14869595	0.11215556	0.112351246	0.11916465	0.1368368	0.1183797	0.11410833
