 	tu	le	hai	cucinati	le	verdure	</S>
a46	0.78639704	0.012556705	0.001181723	0.04482813	0.03555659	0.071745634	0.047734134
a8	0.5342453	0.09775829	0.0008769839	0.35037598	0.00075576734	0.0022179156	0.013769834
a20	0.53707045	0.012577273	0.0014166738	0.42301068	0.0009686099	0.004887427	0.02006881
a8	0.116340116	0.014764413	0.0038754435	0.38772994	0.008435354	0.061226282	0.40762842
a31	0.20700905	0.026013117	0.011881601	0.2753973	0.03915992	0.13743985	0.3030992
a37	0.06702999	0.3139849	0.0012910244	0.15577504	0.010044154	0.01826443	0.4336104
a10	0.039257534	0.06436648	0.017102296	0.28700548	0.066297054	0.24189222	0.28407896
a31	0.16204989	0.5082796	0.018786745	0.17544329	0.032355566	0.03905328	0.064031646
a21	0.10204091	0.08358621	0.0010173958	0.028899847	0.08922722	0.3187619	0.3764665
a31	0.12536132	0.062271193	0.051379833	0.059560176	0.30603522	0.15511091	0.24028128
a10	0.05932658	0.004466542	0.0014259842	0.04502538	0.23306489	0.39943358	0.257257
a17	0.0321754	0.063906215	0.03253971	0.023139248	0.20603892	0.3589372	0.2832633
a20	0.31929988	0.2479303	0.039441414	0.03168941	0.17674932	0.09471741	0.09017233
a31	0.07017866	0.123572335	0.058359638	0.043916006	0.27240583	0.26191768	0.16964982
a39	0.18083668	0.047760464	0.041620966	0.057281412	0.15824354	0.3185949	0.19566202
a31	0.06274057	0.1345647	0.07083951	0.05309187	0.29376274	0.19642897	0.18857163
a8	0.21858317	0.104653545	0.10129372	0.11264367	0.14846773	0.17256197	0.14179625
a39	0.07480393	0.075618744	0.056739297	0.055981867	0.1216341	0.42883694	0.18638515
a8	0.13944344	0.13925368	0.12949602	0.1287633	0.13985416	0.14925554	0.17393385
</S>	0.123818345	0.13125703	0.11782535	0.11736935	0.14031821	0.15850902	0.21090269
