 	l	ha	scritta	</S>
a20	0.025626553	0.036153022	0.92614996	0.01207044
a31	0.011105964	1.5336851e-05	0.9758766	0.013002086
a35	0.6687357	0.012365937	0.31206647	0.0068318485
a31	0.68382543	0.010394834	0.2587707	0.047009096
a35	0.09417116	0.0015751461	0.87274724	0.031506512
a31	0.2322101	0.045876797	0.33063978	0.39127335
a41	0.7065902	0.0357264	0.22346191	0.03422157
a31	0.29976422	0.20111786	0.26437452	0.23474343
a11	0.7045637	0.094017915	0.13835022	0.063068174
a18	0.40562418	0.22249359	0.097127795	0.27475446
a13	0.34766912	0.21076463	0.06907935	0.37248692
</S>	0.28500056	0.18739198	0.124349944	0.4032575
