 	ho	cosa	a	fare	</S>
a23	0.2300053	0.4509465	0.21377032	0.0765845	0.02869332
a17	0.07122621	0.78160954	0.095648974	0.04195593	0.009559262
a31	0.063545644	0.22009304	0.30366915	0.2964117	0.116280526
a8	0.12916669	0.8540414	0.016339585	0.00019662094	0.00025571088
a31	0.09958294	0.060639255	0.09140685	0.16467813	0.58369285
a13	0.07678703	0.50413597	0.116481155	0.053404182	0.24919166
a24	0.22595309	0.5698746	0.04038787	0.04433067	0.119453795
a31	0.36136362	0.29186967	0.10961262	0.12922053	0.10793361
a13	0.23193301	0.18600297	0.10668608	0.17717445	0.2982035
a31	0.20457885	0.18245454	0.085704796	0.28914917	0.23811269
a18	0.22484218	0.21580216	0.14283907	0.16772489	0.2487917
a0	0.09489973	0.071877964	0.05316756	0.33628193	0.4437728
a39	0.14198105	0.14152628	0.117249765	0.18541782	0.4138251
</S>	0.124815166	0.12324156	0.1124529	0.19334222	0.44614816
