 	forse	non	li	ha	a	casa	</S>
a28	0.20916581	0.32992312	0.07113428	0.00799523	0.019017566	0.14625067	0.21651334
a10	0.024624262	0.95279366	0.004685932	0.0018972232	0.0043586767	0.0011874898	0.010452616
a31	0.71491784	0.15110539	0.04022926	0.022892734	0.035226505	0.0017845609	0.03384369
a21	0.30048588	0.32037646	0.22341548	0.07781737	0.039697077	0.0043874206	0.033820335
a37	0.6510574	0.1616794	0.043381687	0.013607929	0.006739851	0.04610966	0.077424034
a31	0.061601907	0.35129917	0.0918519	0.0218417	0.018926388	0.1789934	0.27548555
a37	0.009510101	0.9737039	0.0042600487	0.00046944563	0.0009735408	0.002881839	0.008201223
a31	0.049776252	0.032959633	0.016563887	0.005761206	0.03603932	0.4558937	0.403006
a37	0.5033744	0.33931077	0.0062067094	0.0010571221	0.002592469	0.073399715	0.07405884
a31	0.0541511	0.15252164	0.22556934	0.075335234	0.05344045	0.20342648	0.23555568
a21	0.9155373	0.023339743	0.0081344275	0.0015345507	0.0022437554	0.024731934	0.024478368
a31	0.062597655	0.1593355	0.4581221	0.11593419	0.042463355	0.06696038	0.09458682
a20	0.80312866	0.033080548	0.043054577	0.018660428	0.019267542	0.043384396	0.039423887
a31	0.08319957	0.18935584	0.425932	0.092800066	0.05822008	0.06471153	0.08578086
a37	0.42938772	0.0917526	0.09890555	0.08756364	0.088535674	0.10349902	0.100355834
a33	0.12850247	0.18527347	0.18851982	0.13515191	0.12296783	0.117381714	0.12220279
</S>	0.1434297	0.17577262	0.14813769	0.13206333	0.13106735	0.13253193	0.13699739
