 	non	ci	dimentichiamo	mai	</S>
a31	0.44754308	0.013373291	0.22585925	0.044631023	0.2685933
a20	0.008620661	0.00014582153	0.98972476	2.323801e-06	0.0015063754
a31	0.9978842	2.3390876e-06	0.0014816666	2.960322e-05	0.0006021444
a11	0.98085165	0.00012737798	0.018872377	1.2249079e-05	0.00013629597
a20	0.9532829	0.00014116378	0.026186481	0.008848349	0.011541171
a31	0.85209024	0.0005439947	0.06406805	0.062116135	0.021181691
a11	0.8632829	0.0003554929	0.11700658	0.011475731	0.00787935
a31	0.008250651	0.007259236	0.93978244	0.018681144	0.026026588
a18	0.08183906	0.002611455	0.82661307	0.020651978	0.068284474
a42	0.0050726957	0.018270371	0.9693989	0.0041356203	0.0031224743
a31	0.017476667	0.04505321	0.76946014	0.10124665	0.066763386
a18	0.052046183	0.020808674	0.7796552	0.07231342	0.07517657
a31	0.0940146	0.13376269	0.57589716	0.101511024	0.09481451
a39	0.18998139	0.113016956	0.35330012	0.16734138	0.17636013
a31	0.16500922	0.18677463	0.31820375	0.16662948	0.16338287
a20	0.21457618	0.17078489	0.24403547	0.18387066	0.18673272
a39	0.1954158	0.19757754	0.22023256	0.19352116	0.193253
a31	0.19864433	0.19616574	0.20837769	0.19834901	0.1984633
a14	0.2653447	0.17435285	0.19188401	0.18340144	0.18501695
a46	0.2112962	0.19374731	0.19781108	0.1981381	0.19900732
a20	0.22519675	0.18775526	0.19161403	0.19721633	0.19821756
a31	0.21736236	0.19239981	0.19526723	0.1972177	0.19775295
</S>	0.30523506	0.16977812	0.17144619	0.17632224	0.1772184
