 	deve	essere	bianco	</S>
a31	0.35244325	0.19618161	0.4379051	0.0134700425
a11	0.48662293	0.0010469861	0.51015157	0.0021785237
a31	0.013204007	6.693682e-07	0.9844662	0.0023290303
a37	0.08334904	7.265801e-05	0.9140506	0.0025277284
a31	0.003685924	0.00098453	0.97926646	0.016063062
a37	0.0036669634	0.0015965815	0.9878346	0.0069018477
a31	0.2759251	0.5003511	0.20228082	0.021443037
a20	0.1441414	0.1994434	0.581035	0.07538017
a31	0.17681605	0.5983082	0.15845579	0.06641994
a0	0.24416986	0.24914007	0.30724818	0.19944191
a31	0.20979701	0.4152377	0.2371257	0.13783962
a20	0.29116455	0.2254787	0.2753732	0.20798355
a18	0.24370737	0.31324416	0.23418254	0.2088659
</S>	0.2650471	0.24536987	0.2544838	0.23509926
