 	se	si	era	vestito	la	figlia	l	avessi	portata	alla	chiesa	</S>
a31	0.25199974	0.39648983	0.083857805	0.010554071	0.0006944972	0.0019823213	0.0018321241	0.0019030084	0.0050456864	0.043542046	0.1403904	0.06170845
a20	0.0040199272	0.67315406	0.119705826	0.004103913	1.902321e-07	0.0007018995	0.008648502	0.0005066078	0.117190056	0.049220122	0.009876627	0.01287221
a37	0.1894908	0.29107404	0.17816065	0.0034954925	1.8841557e-06	0.005618842	0.0034858966	0.00014619784	0.24243914	0.00081712584	0.0070383158	0.07823158
a24	0.018044459	0.08510461	0.021336963	0.00062924897	1.8592298e-06	0.0056598014	0.005568766	0.0006174331	0.54766613	0.005063205	0.050524414	0.2597831
a31	0.02518713	0.04690347	0.010811991	0.00051004835	2.0989495e-05	0.0049770195	0.010535839	0.0024275589	0.6545149	0.011924694	0.07571374	0.15647265
a39	0.0033900484	0.7830641	0.082892574	0.00043568888	1.7095044e-08	4.617488e-05	0.000105523126	4.131011e-06	0.124336876	0.00096253277	0.00080710906	0.0039551253
a31	0.008316813	0.009700111	0.004635524	0.001525363	3.2442134e-05	0.00017037998	0.0025975078	0.0016859176	0.22099556	0.2446592	0.40366575	0.1020154
a24	0.02894749	0.46266803	0.091386065	0.0009654207	7.5023473e-07	7.296525e-05	0.00047058339	7.405678e-05	0.35261226	0.017809724	0.017138328	0.027854329
a31	0.006191892	0.014239742	0.0077990303	0.0015058528	0.00012825934	0.0004494041	0.00372207	0.003470496	0.19655126	0.387587	0.3293291	0.049025945
a28	0.18410714	0.14938799	0.030373694	0.004745616	5.8188045e-05	0.00023151621	0.0017732768	0.00050889025	0.2012151	0.08067936	0.2227174	0.12420183
a24	0.003913811	0.010963477	0.006851968	0.0030075903	0.00049758813	0.0011675007	0.0071847737	0.006290778	0.46160454	0.32100594	0.15529023	0.022221813
a8	0.030287752	0.019216372	0.010692075	0.0020295014	9.4121846e-05	0.00016466615	0.0007995399	0.0008715019	0.2537448	0.21386251	0.37368137	0.09455573
a31	0.004333058	0.006602917	0.002633999	0.0017221912	0.0005282205	0.0011798929	0.0051668077	0.004699428	0.52854174	0.23002453	0.18949401	0.025073143
a46	0.12082476	0.009882645	0.0116565125	0.009002114	0.0033129181	0.0048609464	0.0072648707	0.006240317	0.21860142	0.08015986	0.43937072	0.08882285
a8	0.012841958	0.019192688	0.011305267	0.008661141	0.0062739574	0.0085122865	0.014714534	0.01392193	0.62596196	0.2039548	0.054501727	0.0201577
a28	0.045801047	0.06493099	0.061587628	0.052781675	0.047690637	0.049263664	0.052059602	0.052104898	0.36999264	0.093855835	0.07070652	0.03922491
a31	0.019487023	0.029927056	0.06274838	0.07316382	0.054377478	0.05986362	0.06869095	0.06684425	0.28327897	0.17039284	0.07135866	0.03986689
a39	0.18292959	0.05657952	0.08283903	0.13856108	0.048651762	0.06654856	0.09942959	0.08327039	0.11143766	0.042657334	0.047152568	0.03994298
a33	0.028997067	0.040890474	0.102681644	0.11761848	0.08539603	0.10100935	0.113412	0.10998643	0.11285657	0.10864536	0.04646082	0.03204587
a31	0.04530997	0.07254543	0.10053971	0.093735114	0.084151275	0.089053534	0.09322482	0.09289485	0.15723988	0.081845686	0.054829974	0.034629807
a24	0.44209278	0.05280136	0.049815044	0.06033832	0.04544657	0.04739886	0.051702224	0.04931278	0.056149427	0.04638714	0.050248954	0.04830653
a37	0.030304031	0.042300858	0.10947822	0.12653345	0.09436352	0.11142157	0.1234202	0.11981043	0.08338645	0.08638531	0.041939825	0.030656043
a14	0.034934424	0.039744843	0.105535604	0.1653709	0.08149919	0.11490751	0.14755964	0.13488352	0.052847244	0.051680673	0.03741981	0.03361662
a20	0.040409718	0.042580828	0.09236688	0.18094529	0.072406456	0.105175294	0.14977962	0.13033646	0.05442121	0.050173428	0.041958906	0.039446004
a28	0.034193803	0.038715847	0.10420095	0.16598974	0.08218766	0.115873106	0.14872529	0.13591689	0.051358104	0.05173199	0.03739629	0.033710323
a5	0.03621492	0.039864693	0.099343605	0.17277767	0.07723559	0.11140863	0.14977266	0.13411099	0.051206026	0.05253605	0.039377116	0.03615212
a17	0.031892568	0.04125379	0.1163251	0.14275603	0.0959355	0.11938456	0.13543585	0.12993003	0.059471324	0.0605836	0.036892585	0.030139063
a21	0.031846642	0.04433976	0.11599642	0.1322933	0.10000699	0.117176756	0.12770319	0.124273315	0.068628795	0.068156056	0.039424263	0.0301545
a8	0.03145683	0.043062788	0.11577626	0.13501118	0.100371026	0.11879953	0.13019782	0.12639971	0.06406932	0.06602347	0.03870829	0.030123744
a31	0.04410307	0.068151616	0.10624021	0.1065942	0.098056376	0.10273359	0.10546131	0.104910396	0.084396325	0.08350541	0.056778498	0.039068982
a20	0.28296068	0.0636541	0.064222395	0.08698543	0.059792247	0.06327715	0.07164772	0.06707113	0.060518064	0.05890659	0.06097317	0.05999136
a3	0.030816825	0.040520318	0.11437311	0.14003855	0.09850932	0.12027145	0.13464473	0.12973452	0.060460255	0.063156806	0.03744059	0.03003356
a20	0.03883051	0.04190531	0.096156314	0.1799849	0.07497465	0.10898225	0.15177278	0.13356528	0.04764979	0.048374046	0.039988462	0.037815712
a10	0.032519866	0.03837862	0.1101756	0.15819296	0.089181416	0.1202498	0.14585961	0.13629155	0.049992945	0.0516361	0.03588228	0.03163932
a31	0.03314026	0.037994698	0.10625657	0.16324627	0.08497324	0.117873564	0.14783388	0.13629204	0.049873028	0.052462745	0.036956746	0.03309699
a20	0.102270246	0.071633205	0.079436205	0.12771511	0.07215896	0.07954249	0.0976389	0.08788108	0.07578626	0.068847075	0.069095716	0.06799477
a7	0.03298774	0.037973795	0.10606329	0.16198345	0.084893614	0.11765153	0.1474938	0.13611057	0.05139246	0.0536284	0.0369651	0.03285625
a11	0.042284396	0.044580877	0.08952802	0.18549733	0.071241945	0.10243589	0.14925982	0.12816398	0.050141223	0.051133197	0.043782026	0.041951332
a18	0.033056717	0.038358606	0.10799836	0.16124214	0.08631098	0.11857726	0.14694151	0.13616852	0.05013365	0.052194525	0.036519475	0.032498196
a27	0.031326998	0.038929936	0.1132099	0.14866579	0.09414278	0.1207278	0.14000396	0.1331158	0.05600674	0.05697646	0.0363236	0.030570215
a31	0.032491144	0.03807224	0.108954914	0.15919994	0.08802393	0.11953241	0.14615947	0.13613899	0.05020688	0.052797314	0.036327608	0.03209522
