 	non	aveva	cosa	a	fare	</S>
a31	0.25225583	0.06701219	0.07049901	0.07231111	0.3786151	0.1593068
a18	0.040740807	0.0012763066	0.85400957	0.001240159	0.005510433	0.09722271
a24	0.03343902	5.9522008e-05	0.17280579	0.09530268	0.11392792	0.5844651
a20	0.0018903211	3.271781e-05	0.07438016	0.020426176	0.10150255	0.8017681
a31	0.09536496	0.0011301391	0.020256156	0.042882934	0.31688964	0.5234762
a18	0.047689263	0.0018318945	0.7368475	0.0061266674	0.010987395	0.19651729
a31	0.35320655	0.032806363	0.01862801	0.06398901	0.2072653	0.3241048
a17	0.09216589	0.006994284	0.3288654	0.023658514	0.10870594	0.43961
a20	0.33514893	0.09521221	0.08464086	0.077143304	0.12460792	0.2832467
a31	0.13696861	0.17890261	0.22689162	0.047829702	0.13761331	0.27179414
</S>	0.07071685	0.03134805	0.06321872	0.06994672	0.38139948	0.3833702
