 	non	ho	dove	d	andare	</S>
a20	0.023746364	0.017406413	0.06881804	0.01190304	0.2410637	0.6370625
a31	0.011692368	0.0017968095	0.9302805	0.00011367551	0.0025193621	0.05359727
a37	0.14865196	0.0712079	0.28510392	5.7243433e-05	0.27676815	0.2182108
a31	0.40510976	0.17188734	0.16688459	0.028169468	0.054502275	0.17344657
a29	0.008776588	0.021376746	0.9604255	9.6088894e-05	0.00026618506	0.009058867
a41	0.017399346	0.011107623	0.8339282	0.062493276	0.0040546055	0.07101698
a31	0.025599463	0.018630862	0.18200937	0.6670757	0.055252723	0.05143185
a18	0.19558363	0.052364934	0.44347575	0.2397127	0.014475163	0.054387808
a31	0.03708729	0.054724757	0.01709829	0.8542239	0.023105942	0.013759817
a39	0.19382912	0.14527379	0.16606236	0.32698762	0.06354221	0.10430481
a31	0.06904135	0.1352548	0.057337593	0.6264469	0.065134555	0.04678473
a8	0.18655764	0.16423132	0.15670763	0.20274445	0.14570777	0.14405118
a31	0.09465743	0.08129656	0.0725177	0.44318044	0.20681316	0.101534784
a8	0.22290362	0.15122743	0.16220002	0.1575765	0.1517811	0.15431133
</S>	0.14477365	0.14326832	0.14378381	0.24508275	0.18079267	0.1422988
