 	lo	sentii	che	viene	</S>
a43	0.06051072	0.7068691	0.19607306	0.01861853	0.017928675
a17	0.09849506	0.901387	0.000104804	1.1725803e-07	1.3105555e-05
a11	0.3238591	0.6721841	0.001712303	9.232377e-06	0.0022352126
a31	0.19734876	0.5245895	0.046034705	0.009263754	0.22276327
a46	0.03025042	0.9692513	0.00041853165	2.4299138e-06	7.747024e-05
a6	0.6970424	0.22241728	0.028579267	0.023827914	0.028133128
a31	0.20409761	0.28233078	0.054802567	0.43804464	0.020724397
a15	0.15529804	0.747086	0.058757927	0.030428028	0.008429999
a20	0.15822305	0.63019633	0.07449746	0.0921012	0.044981975
a31	0.1564086	0.42764726	0.16151118	0.14856307	0.105869904
a17	0.14058763	0.31681004	0.3643423	0.15635982	0.021900207
a31	0.09228673	0.34173897	0.2201233	0.19148806	0.15436293
a13	0.10555209	0.3826201	0.3494697	0.13075078	0.031607427
a39	0.07972324	0.32005283	0.31492746	0.1519182	0.13337818
a46	0.101946786	0.3666724	0.3293614	0.097844735	0.10417465
a31	0.13942648	0.26444775	0.25944912	0.15193519	0.18474145
a18	0.28322524	0.18294454	0.19776231	0.18223584	0.15383218
</S>	0.18166077	0.21174954	0.2118085	0.19758244	0.1971988
